name,candidate,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
WOLKOWICZ,Wolkowicz,H,House,REP,REPUBLICAN PARTY,CA,36,36,{36},{2018},{2018},C,C,Challenger,4/25/18 21:12,10/12/17,10/12/17,10/12/17,H8CA36188,2018
NICHOLS,Nichols,H,House,DEM,DEMOCRATIC PARTY,OK,2,2,{02},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,11/17/17,11/17/17,11/17/17,H8OK02148,2018
SARBANES,Sarbanes,H,House,DEM,DEMOCRATIC PARTY,MD,3,3,"{03,03,03,03,03,03,03,03}","{2006,2008,2010,2012,2014,2016,2018,2020}","{2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2/25/19 21:15,9/26/05,2/20/19,2/20/19,H6MD03292,2020
GRIFFIN,Griffin,H,House,REP,REPUBLICAN PARTY,NM,2,2,{02},{2018},{2018},C,O,Open seat,4/17/18 21:13,1/8/18,1/11/18,1/11/18,H8NM02230,2018
TAYLOR,Taylor,H,House,REP,REPUBLICAN PARTY,OK,4,4,"{04,04}","{2016,2018}","{2016,2018,2020}",P,C,Challenger,3/27/19 16:02,1/24/16,2/22/18,2/22/18,H6OK04114,2018
NALBANDIAN,Nalbandian,H,House,REP,REPUBLICAN PARTY,CA,28,28,{28},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/20/17,7/20/17,7/20/17,H8CA28185,2018
MACKENZIE,Mackenzie,H,House,DEM,DEMOCRATIC PARTY,NH,1,1,{01},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,11/20/17,11/20/17,11/20/17,H8NH01228,2018
FRERICK,Frerick,H,House,DEM,DEMOCRATIC PARTY,IA,3,3,{03},{2018},{2018},C,C,Challenger,11/15/17 22:14,8/2/17,11/15/17,11/15/17,H8IA03165,2018
HORNBACK,Hornback,H,House,DEM,DEMOCRATIC PARTY,FL,15,15,{15},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,11/27/17,1/31/18,1/31/18,H8FL15198,2018
DOWLING,Dowling,H,House,REP,REPUBLICAN PARTY,AZ,8,8,{08},{2018},{2018},C,C,Challenger,8/20/18 21:09,5/31/18,5/31/18,5/31/18,H8AZ08257,2018
BRIGHT,Bright,H,House,REP,REPUBLICAN PARTY,SC,4,4,{04},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,3/15/18,3/15/18,3/15/18,H8SC04342,2018
SAREGA,Sarega,H,House,REP,REPUBLICAN PARTY,CA,39,39,{39},{2018},{2018},C,O,Open seat,4/25/18 21:12,1/11/18,1/11/18,1/11/18,H8CA39216,2018
ALLEN,Allen,H,House,DEM,DEMOCRATIC PARTY,GA,7,7,{07},{2018},{2018},C,C,Challenger,8/29/17 20:55,4/21/17,4/21/17,4/21/17,H8GA07144,2018
ROHRABACHER,Rohrabacher,H,House,REP,REPUBLICAN PARTY,CA,48,48,"{42,42,45,45,45,45,45,46,46,46,46,46,48,48,48,48}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,3/17/88,8/8/17,8/8/17,H8CA42061,2018
MESSENGER,Messenger,H,House,DEM,DEMOCRATIC PARTY,NY,24,24,{24},{2018},{2018},C,C,Challenger,11/6/17 20:55,7/11/17,11/6/17,11/6/17,H8NY24082,2018
ALLMAN,Allman,H,House,REP,REPUBLICAN PARTY,CA,52,52,{52},{2018},{2018},C,C,Challenger,4/13/18 21:15,10/13/17,10/13/17,10/13/17,H8CA52136,2018
KIDD,Kidd,H,House,REP,REPUBLICAN PARTY,UT,3,3,{03},{2018},{2018},F,C,Challenger,6/12/17 21:03,2/2/17,6/5/17,6/5/17,H8UT03121,2018
KING,King,H,House,REP,REPUBLICAN PARTY,NY,2,2,"{03,03,03,03,03,03,03,03,03,03,02,02,02,02,02}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,4/1/19 21:06,7/14/92,2/14/19,2/14/19,H2NY03089,2020
LANGE,Lange,H,House,DEM,DEMOCRATIC PARTY,OH,6,6,{06},{2018},{2018},N,C,Challenger,2/12/18 21:09,1/31/18,1/31/18,1/31/18,H8OH06117,2018
LUJAN GRISHAM,Lujan Grisham,H,House,DEM,DEMOCRATIC PARTY,NM,1,1,"{01,01,01,01,01}","{2008,2012,2014,2016,2018}","{2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,10/15/07,11/17/16,11/17/16,H8NM01257,2018
DEMARCO,Demarco,H,House,DEM,DEMOCRATIC PARTY,DC,0,0,{00},{2018},{2018},C,C,Challenger,2/22/18 21:14,,,,H8DC03014,2018
BENTIVOLIO,Bentivolio,H,House,REP,REPUBLICAN PARTY,MI,11,11,"{11,11,11,11}","{2012,2014,2016,2018}","{2012,2014,2016,2018,2020}",P,O,Open seat,3/27/19 16:02,10/11/11,11/2/17,11/2/17,H2MI11133,2018
GASPER,Gasper,H,House,DEM,DEMOCRATIC PARTY,OH,10,10,{10},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/10/18,7/4/18,7/4/18,H8OH10119,2018
SINGLETARY,Singletary,H,House,DEM,DEMOCRATIC PARTY,PA,3,3,{03},{2018},"{2018,2020}",N,O,Open seat,3/8/18 21:07,1/12/18,3/8/18,3/8/18,H8PA01252,2018
ROONEY,Rooney,H,House,REP,REPUBLICAN PARTY,FL,17,17,"{16,16,17,17,17,17}","{2008,2010,2012,2014,2016,2018}","{2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,3/9/07,11/28/16,11/28/16,H8FL16022,2018
SIDDIQUI,Siddiqui,H,House,DEM,DEMOCRATIC PARTY,CA,48,48,{48},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/4/17,7/4/17,7/4/17,H8CA48084,2018
AMASH,Amash,H,House,REP,REPUBLICAN PARTY,MI,3,3,"{03,03,03,03,03,03}","{2010,2012,2014,2016,2018,2020}","{2010,2012,2014,2016,2018,2020}",N,I,Incumbent,1/28/19 21:05,2/12/10,1/26/19,1/26/19,H0MI03126,2020
AXNE,Axne,H,House,DEM,DEMOCRATIC PARTY,IA,3,3,"{03,03}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/23/19 21:14,6/2/17,4/23/19,4/23/19,H8IA03124,2020
DUPONT,Dupont,H,House,REP,REPUBLICAN PARTY,CT,5,5,{05},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,5/2/18,5/2/18,5/2/18,H8CT05229,2018
HILDEBRANDT,Hildebrandt,H,House,DEM,DEMOCRATIC PARTY,NM,2,2,{02},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,3/9/17,3/9/17,3/9/17,H8NM02115,2018
GUILLORY,Guillory,H,House,REP,REPUBLICAN PARTY,LA,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,2/6/17,2/6/17,2/6/17,H8LA03037,2018
CHATLOS,Chatlos,H,House,DEM,DEMOCRATIC PARTY,IN,9,9,{09},{2018},"{2018,2020}",N,C,Challenger,10/5/17 20:56,9/7/17,9/7/17,9/7/17,H8IN09115,2018
SHERMAN,Sherman,H,House,REP,REPUBLICAN PARTY,MN,7,7,"{07,07}","{2018,2020}","{2018,2020}",N,C,Challenger,2/13/19 21:28,12/20/17,2/6/19,2/6/19,H8MN07102,2020
ABDULAHI,Abdulahi,H,House,DEM,DEMOCRATIC PARTY,MN,5,5,{05},{2018},{2018},C,O,Open seat,8/7/18 21:19,1/18/17,7/9/18,7/9/18,H8MN05163,2018
DACEY,Dacey,H,House,REP,REPUBLICAN PARTY,NC,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/7/17,7/7/17,7/7/17,H8NC03076,2018
HAALAND,Haaland,H,House,DEM,DEMOCRATIC PARTY,NM,1,1,"{01,01}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/1/19 21:06,5/2/17,2/6/19,2/6/19,H8NM01331,2020
MONTGOMERY,Montgomery,H,House,DEM,DEMOCRATIC PARTY,GA,10,10,{10},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/6/17,7/6/17,7/6/17,H8GA10148,2018
JORDAN,Jordan,H,House,REP,REPUBLICAN PARTY,OH,4,4,"{04,04,04,04,04,04,04,04}","{2006,2008,2010,2012,2014,2016,2018,2020}","{2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,4/3/19 21:06,11/8/05,3/26/19,3/26/19,H6OH04082,2020
VERCOLIO-OSMUND,Vercolio-Osmund,H,House,DEM,DEMOCRATIC PARTY,IL,16,16,{16},{2018},{2018},C,C,Challenger,3/12/18 21:07,12/16/17,12/16/17,12/16/17,H8IL16161,2018
MYERS,Myers,H,House,DEM,DEMOCRATIC PARTY,WI,1,1,{01},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,7/1/17,7/1/17,7/1/17,H8WI01131,2018
GOODLATTE,Goodlatte,H,House,REP,REPUBLICAN PARTY,VA,6,6,"{06,06,06,06,06,06,06,06,06,06,06,06,06,06}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,1/10/92,1/27/17,1/27/17,H2VA06115,2018
TURNER,Turner,H,House,DEM,DEMOCRATIC PARTY,SC,4,4,{04},{2018},{2018},C,O,Open seat,4/18/18 21:13,1/4/18,1/4/18,1/4/18,H8SC04227,2018
STEWART,Stewart,H,House,REP,REPUBLICAN PARTY,UT,2,2,"{02,02,02,02,02}","{2012,2014,2016,2018,2020}","{2012,2014,2016,2018,2020}",C,I,Incumbent,4/3/19 21:06,12/5/11,3/1/19,3/1/19,H2UT02324,2020
KIM,Kim,H,House,REP,REPUBLICAN PARTY,PA,5,5,{05},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,3/17/18,3/17/18,3/17/18,H8PA05295,2018
TIEGEL,Tiegel,H,House,DEM,DEMOCRATIC PARTY,NC,8,8,{08},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,2/12/18,2/12/18,2/12/18,H8NC08117,2018
PALZEWICZ,Palzewicz,H,House,DEM,DEMOCRATIC PARTY,WI,5,5,{05},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,8/23/17,8/23/17,8/23/17,H8WI05165,2018
BUCSHON,Bucshon,H,House,REP,REPUBLICAN PARTY,IN,8,8,"{08,08,08,08,08,08}","{2010,2012,2014,2016,2018,2020}","{2010,2012,2014,2016,2018,2020}",N,I,Incumbent,4/15/19 21:15,10/8/09,4/15/19,4/15/19,H0IN08114,2020
KIM,Kim,H,House,DEM,DEMOCRATIC PARTY,GA,7,7,"{07,07}","{2018,2020}","{2018,2020}",N,O,Open seat,2/11/19 21:20,6/7/17,9/24/18,9/24/18,H8GA07151,2020
BONAMICI,Bonamici,H,House,DEM,DEMOCRATIC PARTY,OR,1,1,"{01,01,01,01,01}","{2012,2014,2016,2018,2020}","{2012,2014,2016,2018,2020}",C,I,Incumbent,4/3/19 21:06,8/8/11,1/1/19,1/1/19,H2OR01133,2020
SCOTT,Scott,H,House,REP,REPUBLICAN PARTY,GA,8,8,"{08,08,08,08,08,08}","{2010,2012,2014,2016,2018,2020}","{2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/29/19 21:06,5/7/10,12/14/18,12/14/18,H0GA08099,2020
SEVIGNY,Sevigny,H,House,DEM,DEMOCRATIC PARTY,FL,6,6,{06},{2018},{2018},C,O,Open seat,4/17/18 21:13,1/21/18,1/21/18,1/21/18,H8FL06155,2018
HAGAN,Hagan,H,House,DEM,DEMOCRATIC PARTY,AL,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,2/4/18,2/4/18,2/4/18,H8AL03054,2018
MCHALE,Mchale,H,House,DEM,DEMOCRATIC PARTY,AZ,8,8,{08},{2018},"{2018,2020}",N,O,Open seat,1/9/18 21:09,3/21/17,3/21/17,3/21/17,H8AZ08067,2018
FRANCO,Franco,H,House,DEM,DEMOCRATIC PARTY,CA,22,22,{22},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,6/30/17,6/30/17,6/30/17,H8CA22147,2018
SMITH,Smith,H,House,REP,REPUBLICAN PARTY,TX,21,21,"{21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21}","{1976,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1976,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,8/5/85,12/22/16,12/22/16,H6TX21012,2018
BUTNER,Butner,H,House,DEM,DEMOCRATIC PARTY,CA,50,50,{50},{2018},{2018},C,C,Challenger,4/13/18 21:15,4/12/17,4/12/17,4/12/17,H8CA50106,2018
WESTMORELAND,Westmoreland,H,House,DEM,DEMOCRATIC PARTY,CA,7,7,{07},{2018},{2018},N,C,Challenger,8/18/17 20:58,8/14/17,8/14/17,8/14/17,H8CA07064,2018
GRIFFIN,Griffin,H,House,DEM,DEMOCRATIC PARTY,GA,6,6,{06},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,3/7/18,3/7/18,3/7/18,H8GA06401,2018
ARORA,Arora,H,House,REP,REPUBLICAN PARTY,CT,4,4,{04},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,12/27/17,12/27/17,12/27/17,H8CT04214,2018
PARKER,Parker,H,House,DEM,DEMOCRATIC PARTY,NC,7,7,{07},{2018},"{2018,2020}",N,C,Challenger,4/9/18 21:07,2/28/18,2/28/18,2/28/18,H8NC07127,2018
PRINGLE,Pringle,H,House,DEM,DEMOCRATIC PARTY,NJ,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/8/18,1/8/18,1/8/18,H8NJ07231,2018
SALMON,Salmon,H,House,DEM,DEMOCRATIC PARTY,NJ,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,4/17/17,4/17/17,4/17/17,H8NJ07181,2018
HULLUM,Hullum,H,House,DEM,DEMOCRATIC PARTY,OK,1,1,"{01,01}","{2016,2018}","{2016,2018}",N,O,Open seat,5/17/18 21:10,5/3/16,5/26/16,5/26/16,H6OK01193,2018
MILLER,Miller,H,House,REP,REPUBLICAN PARTY,TN,7,7,{07},{2018},{2018},C,O,Open seat,1/30/18 21:08,11/3/17,11/3/17,11/3/17,H8TN07084,2018
DAVID,David,H,House,REP,REPUBLICAN PARTY,PA,4,4,{04},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,1/4/18,4/5/18,4/5/18,H8PA15286,2018
WILLIAMS,Williams,H,House,DEM,DEMOCRATIC PARTY,VA,1,1,"{01,01}","{2018,2020}","{2018,2020}",N,C,Challenger,1/28/19 21:05,1/12/18,11/13/18,11/13/18,H8VA01303,2020
HEARSEY,Hearsey,H,House,DEM,DEMOCRATIC PARTY,MD,6,6,{06},{2018},{2018},C,O,Open seat,2/7/18 21:13,10/31/17,10/31/17,10/31/17,H8MD06218,2018
GASQUE,Gasque,H,House,DEM,DEMOCRATIC PARTY,WA,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/10/17,1/10/17,1/10/17,H8WA03172,2018
MCKINLEY,Mckinley,H,House,REP,REPUBLICAN PARTY,TN,1,1,{01},{2018},{2018},C,C,Challenger,4/18/18 21:13,9/2/17,9/2/17,9/2/17,H8TN01087,2018
RUPPERSBERGER,Ruppersberger,H,House,DEM,DEMOCRATIC PARTY,MD,2,2,"{02,02,02,02,02,02,02,02,02,02}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/27/19 21:06,4/22/02,2/25/19,2/25/19,H2MD02160,2020
HAZEL,Hazel,H,House,REP,REPUBLICAN PARTY,GA,7,7,{07},{2018},{2018},C,C,Challenger,10/17/17 22:53,8/14/17,8/14/17,8/14/17,H8GA07193,2018
CAVANAUGH,Cavanaugh,H,House,REP,REPUBLICAN PARTY,AZ,1,1,{01},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,3/12/17,3/12/17,3/12/17,H8AZ01211,2018
SWEENEY,Sweeney,H,House,REP,REPUBLICAN PARTY,TX,31,31,"{31,31}","{2016,2018}","{2016,2018,2020}",P,C,Challenger,3/27/19 16:02,1/23/16,8/14/17,8/14/17,H6TX31052,2018
BROWN,Brown,H,House,DEM,DEMOCRATIC PARTY,WA,4,4,{04},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,6/5/17,6/5/17,6/5/17,H8WA04089,2018
LONDRIGAN,Londrigan,H,House,DEM,DEMOCRATIC PARTY,IL,13,13,"{13,13}","{2018,2020}","{2018,2020}",N,C,Challenger,4/12/19 21:09,7/6/17,4/11/19,4/11/19,H8IL13150,2020
GLENN,Glenn,H,House,REP,REPUBLICAN PARTY,CO,5,5,{05},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/16/17,7/16/17,7/16/17,H8CO05148,2018
WEBER,Weber,H,House,DEM,DEMOCRATIC PARTY,NJ,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,4/7/17,4/7/17,4/7/17,H8NJ07173,2018
AUSTINSON,Austinson,H,House,DEM,DEMOCRATIC PARTY,MN,1,1,{01},{2018},{2018},N,O,Open seat,1/9/18 21:09,7/4/17,7/4/17,7/4/17,H8MN01287,2018
VILORIA-FISHER,Viloria-Fisher,H,House,DEM,DEMOCRATIC PARTY,NY,1,1,"{01,01}","{2002,2018}","{2002,2004,2018}",C,C,Challenger,9/15/17 21:00,2/14/02,4/19/17,4/19/17,H2NY01042,2018
MARSHALL,Marshall,H,House,REP,REPUBLICAN PARTY,KS,1,1,"{01,01,01}","{2016,2018,2020}","{2016,2018,2020}",C,I,Incumbent,4/1/19 21:06,4/16/15,2/11/19,2/11/19,H6KS01179,2020
GAETZ,Gaetz,H,House,REP,REPUBLICAN PARTY,FL,1,1,"{01,01,01}","{2016,2018,2020}","{2016,2018,2020}",C,I,Incumbent,2/25/19 21:15,3/20/16,2/14/19,2/14/19,H6FL01119,2020
MESSMER,Messmer,H,House,DEM,DEMOCRATIC PARTY,MO,2,2,{02},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,12/18/17,1/3/18,1/3/18,H8MO02232,2018
DINGELL,Dingell,H,House,DEM,DEMOCRATIC PARTY,MI,12,12,"{12,12,12,12}","{2014,2016,2018,2020}","{2014,2016,2018,2020}",N,I,Incumbent,1/28/19 21:05,2/28/14,4/11/19,2/12/17,H4MI12079,2020
YOUNG,Young,H,House,REP,REPUBLICAN PARTY,AK,0,0,"{00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2/25/19 21:15,1/10/76,2/5/19,2/5/19,H6AK00045,2020
HIGGINS,Higgins,H,House,REP,REPUBLICAN PARTY,LA,3,3,"{03,03,03}","{2016,2018,2020}","{2016,2018,2020}",C,I,Incumbent,4/16/19 21:11,5/17/16,4/16/19,4/16/19,H6LA03148,2020
COLLIAS,Collias,H,House,REP,REPUBLICAN PARTY,NC,10,10,{10},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,2/2/18,2/2/18,2/2/18,H8NC10113,2018
CLINE,Cline,H,House,REP,REPUBLICAN PARTY,VA,6,6,"{06,06}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/3/19 21:06,11/27/17,1/31/19,1/31/19,H8VA06104,2020
LURIE,Lurie,H,House,REP,REPUBLICAN PARTY,TX,2,2,{02},{2018},{2018},C,O,Open seat,2/26/18 21:28,12/5/17,12/5/17,12/5/17,H8TX02190,2018
PAPPAS,Pappas,H,House,DEM,DEMOCRATIC PARTY,NH,1,1,"{01,01}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/10/19 21:11,11/13/17,4/10/19,4/10/19,H8NH01210,2020
RHODES,Rhodes,H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,5/5/17,5/5/17,5/5/17,H8NY19199,2018
CARRILLO DONO,Carrillo Dono,H,House,DEM,DEMOCRATIC PARTY,CA,34,34,"{34,34}","{2017,2018}","{2016,2018}",N,C,Challenger,1/4/18 21:07,12/8/16,3/23/17,3/23/17,H8CA34118,2018
ALLEN,Allen,H,House,REP,REPUBLICAN PARTY,AZ,8,8,{08},{2018},{2018},C,O,Open seat,2/22/18 21:14,12/19/17,12/19/17,12/19/17,H8AZ08141,2018
QUIGLEY,Quigley,H,House,DEM,DEMOCRATIC PARTY,IL,5,5,"{05,05,05,05,05,05}","{2010,2012,2014,2016,2018,2020}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/29/19 21:06,11/24/08,11/29/18,11/29/18,H0IL05096,2020
DOMANIK,Domanik,H,House,DEM,DEMOCRATIC PARTY,MI,8,8,{08},{2018},{2018},C,C,Challenger,9/12/17 20:59,2/28/17,2/28/17,2/28/17,H8MI08094,2018
WEBB,Webb,H,House,REP,REPUBLICAN PARTY,MO,4,4,"{04,04,04}","{2014,2016,2018}","{2014,2016,2018,2020}",P,C,Challenger,3/27/19 16:02,6/30/14,7/7/17,7/7/17,H4MO04138,2018
STEPHENS,Stephens,H,House,DEM,DEMOCRATIC PARTY,NV,4,4,{04},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,4/16/18,4/16/18,4/16/18,H8NV04117,2018
FREILICH,Freilich,H,House,DEM,DEMOCRATIC PARTY,VT,0,0,{00},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,9/11/17,9/11/17,9/11/17,H8VT01040,2018
GRAYSON,Grayson,H,House,DEM,DEMOCRATIC PARTY,FL,8,8,"{09,08,08}","{2016,2018,2020}","{2016,2018,2020}",N,C,Challenger,1/28/19 21:05,7/24/15,1/9/19,1/9/19,H6FL09187,2020
CARDENAS,Cardenas,H,House,REP,REPUBLICAN PARTY,CA,27,27,{27},{2018},{2018},N,C,Challenger,2/12/18 21:09,1/31/18,1/31/18,1/31/18,H8CA27120,2018
WALZ,Walz,H,House,DEM,DEMOCRATIC PARTY,MN,1,1,"{01,01,01,01,01,01,01}","{2006,2008,2010,2012,2014,2016,2018}","{2006,2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,2/10/05,11/17/16,11/17/16,H6MN01174,2018
MALINOWSKI,Malinowski,H,House,DEM,DEMOCRATIC PARTY,NJ,7,7,"{07,07}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/15/19 21:15,10/2/17,4/15/19,4/15/19,H8NJ07223,2020
MADDEN,Madden,H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{2018},{2018},N,C,Challenger,8/1/17 20:57,5/15/17,5/15/17,5/15/17,H8NY22144,2018
HANSEN,Hansen,H,House,DEM,DEMOCRATIC PARTY,TX,25,25,{25},{2018},{2018},C,C,Challenger,2/6/18 21:17,11/22/17,11/22/17,11/22/17,H8TX25142,2018
BAUGH,Baugh,H,House,REP,REPUBLICAN PARTY,CA,48,48,"{48,48,48}","{2016,2018,2020}","{2016,2018,2020}",C,C,Challenger,2/13/19 21:28,1/28/16,12/22/18,12/22/18,H6CA48245,2020
WOOLRIDGE,Woolridge,H,House,DEM,DEMOCRATIC PARTY,TX,6,6,"{06,06}","{2016,2018}","{2016,2018,2020}",P,O,Open seat,3/27/19 16:02,2/11/16,10/10/17,10/10/17,H6TX06203,2018
CARRILLO,Carrillo,H,House,DEM,DEMOCRATIC PARTY,TX,16,16,{16},{2018},"{2018,2020}",N,O,Open seat,1/9/18 21:09,9/7/17,9/7/17,9/7/17,H8TX16117,2018
YOUNG,Young,H,House,REP,REPUBLICAN PARTY,IA,3,3,"{03,03,03}","{2014,2016,2018}","{2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,4/22/14,7/30/18,7/30/18,H4IA03115,2018
HORN,Horn,H,House,DEM,DEMOCRATIC PARTY,OK,5,5,"{05,05}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/3/19 21:06,7/1/17,12/31/18,12/31/18,H8OK05109,2020
BARKLEY,Barkley,H,House,DEM,DEMOCRATIC PARTY,CA,10,10,"{10,10,10,10,10}","{2012,2014,2016,2018,2020}","{2012,2014,2016,2018,2020}",N,C,Challenger,1/28/19 21:05,4/20/11,11/6/18,11/6/18,H2CA00096,2020
