name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
FRIENDS OF JESS KING,"{2018,2020}","RANGOONWALA, JUZER",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00648774,H8PA16078,6/28/17,4/15/19,3/6/18
STEPHANIE JONES FOR CONGRESS,{2018},"LEWIS, DONALD THOMAS",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NV,C00663773,H8NV03234,12/20/17,8/3/18,12/20/17
KEELING CAMPAIGN COMMITTEE,"{2018,2020}",MELISSA KEELING,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00646505,H8NJ04170,5/30/17,5/30/17,5/30/17
KARIM FOR CONGRESS,{2018},"TRIMBLE, THERON LAVERN JR.",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00675975,H8FL25023,4/10/18,7/12/18,4/10/18
COBERT FOR CONGRESS,{2018},"SILVERSTEIN, ARTHUR",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00660217,H8NJ11191,11/9/17,10/18/18,11/9/17
REYNOLDS FOR JERSEY,"{2018,2020}","REYNOLDS, KELLY",H,House,Q,P,Principal campaign committee,,,UN,UNAFFILIATED,NJ,C00681122,H8NJ04204,6/15/18,2/19/19,6/15/18
JAMES RAJIAH FOR CONGRESS,"{2018,2020}","RAJIAH, CONNIE",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,OH,C00674374,H8OH14152,3/27/18,3/27/18,3/27/18
JIM BANKS FOR CONGRESS,"{2018,2020}","BANKS, JIM",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NY,C00651232,H8NY27119,7/24/17,7/24/17,7/24/17
JAMES DUERR FOR CONGRESS,"{2018,2020}","HENDERSON, JOHN",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,TX,C00682047,H0TX27038,7/3/18,1/30/19,7/3/18
AMMAR CAMPA FOR CONGRESS,"{2018,2020}","LEWIS, DENISE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00635888,H8CA50098,3/27/17,4/24/19,12/31/18
HELM FOR WYOMING,"{2018,2020}","KORMAN, DAVID",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WY,C00676973,,4/23/18,7/20/18,4/23/18
COMMITTEE TO ELECT ROGER RUGGLES,{2018},"RUGGLES, JACOB",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00674390,H8PA07242,3/27/18,7/27/18,3/27/18
RACHAEL SCDORIS-SALERNO FOR U.S. CONGRESS,"{2018,2020}","SALERNO, NICHOLAS CARMINE MR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OR,C00640417,,5/15/17,6/4/17,5/15/17
ANNA FOR IOWA,{2018},"PETTERSON, JAY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00636688,H8IA03116,4/4/17,7/28/17,4/4/17
MICHAEL SWEENEY FOR CONGRESS COMMITTEE,{2018},"STUBBLEFIELD-SWEENEY, LUCI JANE",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,AL,C00651927,H8AL05182,7/31/17,6/8/18,7/31/17
CHET BEILER FOR CONGRESS,"{2018,2020}","CURTIS, ELIZABETH",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00675157,H8PA11111,4/2/18,4/8/19,4/2/18
MARIA COLLINS WARREN FOR CONGRESS,"{2018,2020}","WARREN, MARIA COLLINS",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NC,C00633388,H8NC09115,2/17/17,4/13/19,2/17/17
MEADER FOR CONGRESS,"{2018,2020}","COOK, DIANE",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00649764,H8NC05071,7/10/17,7/10/17,7/10/17
XOCHITL FOR NEW MEXICO,"{2018,2020}","OROZCO, JOSHUA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NM,C00666149,H8NM02248,1/16/18,4/15/19,1/2/19
WHEELER FOR CONGRESS,"{2018,2020}","HERNANDEZ, ELIZABETH",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AZ,C00653238,H8AZ02169,8/15/17,2/2/19,8/15/17
KEN RUSSELL FOR CONGRESS,"{2018,2020}","MOSKWA, SHELLY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00646901,H8FL27128,6/2/17,4/11/19,4/11/19
MACKEY FOR CONGRESS,{2018},"SMITH, MATTHEW B.",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00633636,H8OH04062,2/22/17,10/25/17,2/22/17
BETTINA RODRIGUEZ-AGUILERA FOR CONGRESS,"{2018,2020}","MASSA, SERGIO",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00654194,H8FL27094,8/28/17,4/14/19,9/20/17
MATT HALL FOR CONGRESS,{2018},"SORRELLE, KIM",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MI,C00665620,H8MI03087,1/11/18,3/6/18,1/11/18
DAN WOOD FOR CONGRESS,"{2018,2020}","WOOD, DANNY JR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00636860,H8TX05086,4/5/17,4/15/19,6/20/18
ANTHONY TONY AUSTIN FOR CONGRESS,{2018},"HALL, BRANDON",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,HI,C00672410,H8HI02158,3/6/18,10/2/18,3/7/18
SELMONT4CONGRESS,"{2018,2020}","SELMONT, MONIKA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00671446,H8FL04085,2/26/18,4/15/19,3/4/18
CURTIS R ROGERS US CONGRESS DISTRICT 15 FL,"{2018,2020}",JEFFREY F KARP,H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00680470,H8FL15289,6/4/18,6/4/18,6/4/18
MCSALLY SCHWEIKERT VICTORY COMMITTEE,{2018},"KILGORE, PAUL",H,House,T,J,Joint fundraising committee,,,,,GA,C00690370,,10/24/18,12/20/18,10/24/18
PERRY PARKER FOR CONGRESS,{2018},"PARKER, JANET",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MS,C00670604,H8MS03182,2/20/18,7/17/18,2/20/18
COMMITTEE TO ELECT JASON KISHINEFF TO CONGRESS,"{2018,2020}","KISHINEFF, JASON",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00662486,"H8AZ08109,H8CA05183",12/5/17,3/4/19,3/4/19
COMMITTEE TO ELECT SCOTT STURM,"{2018,2020}","STURM, SCOTT",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00647867,H8TX17123,6/15/17,7/16/17,6/15/17
COMMITTEE TO ELECT FLYNN D. BROADY JR.,"{2018,2020}","PRINGLE, ERNEST",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,GA,C00675959,H8GA11062,4/10/18,4/15/19,4/10/18
WINFIELD FOR CONGRESS,{2018},"NAQVI, SANJNA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,GA,C00664755,H8GA10171,1/3/18,7/10/18,1/3/18
DIANE MOXLEY FOR CONGRESS,{2018},STEVEN WELZER,H,House,T,P,Principal campaign committee,,,GRE,GREEN PARTY,NJ,C00690438,H8NJ07256,10/22/18,12/16/18,10/22/18
ASHLEY LUNKENHEIMER FOR CONGRESS,{2018},"TURNER, ALEXANDRE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00669481,H8PA07184,2/9/18,11/5/18,3/15/18
FRIENDS OF BRAD DAW,{2018},MIKE MCCAULEY,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,UT,C00640912,H8UT03162,5/18/17,7/19/17,5/18/17
FRIENDS OF MARGARET ENGEBRETSON,"{2018,2020}","PAINE, JIM",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WI,C00669143,H8WI07096,2/7/18,4/14/19,9/24/18
COMMITTEE TO ELECT STEPHEN BRANDON,"{2018,2020}","BRANDON, STEPHEN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00671354,H8TN06136,2/26/18,2/26/18,2/26/18
OLSEN FOR CONGRESS,"{2018,2020}",NANCY FISCHMAN,H,House,Q,P,Principal campaign committee,,,,,TN,C00653253,H8TN01079,8/16/17,4/25/19,8/16/17
WEIL FOR CONGRESS,"{2018,2020}","WEIL, RICHARD LYONS",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CO,C00653642,H8CO04109,8/22/17,8/22/17,8/22/17
KELAN JOHN FARRELL-SMITH FOR HOUSE OF REPRESENTATIVES CALIFORNIA'S 25TH DISTRICT,"{2018,2020}","FARRELL-SMITH, KELAN JOHN MR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00632638,H8CA25066,2/9/17,2/9/17,2/9/17
JOE BILLIE FOR CONGRESS,"{2018,2020}","ROPSKI, SUSAN M.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00639765,H8PA07135,5/9/17,2/6/19,2/6/19
RAQUEL REGALADO FOR CONGRESS,{2018},"WATKINS, NANCY H.",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00651299,H8FL27078,7/24/17,1/31/18,7/24/17
L'ITALIEN FOR CONGRESS,"{2018,2020}","GRAMS, ANNETTE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MA,C00661173,H8MA03197,11/20/17,4/15/19,11/20/17
HECKROTH FOR CONGRESS,{2018},"KEHOE, THERESA L",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00649731,H8IA01128,7/10/17,9/12/18,7/10/17
MARTER FOR CONGRESS,"{2018,2020}","WEBER, STEVE",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IL,C00657361,H8IL16153,10/6/17,4/11/19,10/6/17
MARGE DOYLE FOR CONGRESS,"{2018,2020}",GARY CRUMMITT,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00657122,H8CA08112,10/3/17,4/15/19,4/15/18
COMMITTEE TO ELECT DENNIS LYTTON,"{2018,2020}","LYTTON, AMELIA ROSE-WORFOLK MS",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00662437,H8CA11090,12/4/17,4/15/19,12/4/17
IRINA BARONESS VON BEHR FOR US CONGRESS,"{2018,2020}","CHARRETTE, ROBERT E II",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,AZ,C00634337,H8AZ09016,3/4/17,4/14/19,3/4/17
CRARY FOR CONGRESS,{2018},"CADY, DANIELLE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OR,C00634659,H6OR02181,3/3/17,8/2/18,6/23/17
COMMITTEE TO ELECT BELDEN BATISTE,"{2018,2020}","FORD, MARK MR.",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,LA,C00686311,H8LA02161,8/28/18,8/28/18,8/28/18
SETH VAUGHN FOR CONGRESS,{2018},"VAUGHN, SETH MICHAEL",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00648592,H8CA10159,6/26/17,1/18/18,6/26/17
GARY RUCINSKI COMMITTEE TO ELECT FOR CONGRESS,{2018},"RUCINSKI, GARY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MA,C00674911,,3/31/18,11/30/18,3/31/18
FRIENDS OF MICHAEL GUEST,"{2018,2020}","BREAZEALE, PAUL V",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MS,C00665752,H8MS03125,1/12/18,4/15/19,1/12/18
PRESSLEY TRAHAN VICTORY FUND,"{2018,2020}","MELE, STEVEN",H,House,T,J,Joint fundraising committee,,,,,DC,C00688424,,9/28/18,2/25/19,9/28/18
HUBERT OWENS FOR CONGRESS 2018,"{2018,2020}","BUNDRIGE, CYNTHIA",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MD,C00673210,H8MD02126,3/13/18,3/13/18,3/13/18
VANESSA EDWARDS FOSTER FOR CONGRESS CAMPAIGN,"{2018,2020}","LAYLOR, JANET",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00668962,H8TX27098,2/6/18,2/6/18,2/6/18
COMMITTEE TO ELECT DAHL TO THE U.S. HOUSE,"{2018,2020}","DAHL, PAUL ELLIOTT",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00659524,H8IA04130,10/31/17,10/31/17,10/31/17
AMERICANS FOR BBQ 2017,{2018},"KILGORE, PAUL",H,House,T,J,Joint fundraising committee,,,,,GA,C00633081,,2/15/17,11/30/17,2/15/17
MCGINTY FOR CONGRESS,"{2018,2020}","MCGINTY, JOHN ANDREW MR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00630590,H8PA07093,1/8/17,4/17/18,1/8/17
FRIENDS OF SALVATORE CAIOZZO,"{2018,2020}","CAIOZZO, SALVATORE",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,RI,C00665349,H6RI02284,1/9/18,10/15/18,1/9/18
BRANDON GRISEZ FOR CONGRESS,"{2018,2020}",BRANDON GRISEZ,H,House,Q,P,Principal campaign committee,,,,,OH,C00631275,H8OH12123,1/17/17,2/19/19,1/17/17
JUANITA FOR CONGRESS,{2018},"QUIGLEY, MAUREEN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00675538,H8NY24132,4/6/18,8/30/18,5/2/18
RAFAEL DAGNESSES FOR CONGRESS 2018,{2018},"RAY, LYSA",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00637108,H4CA26139,4/7/17,4/24/18,4/7/17
JASON EMERT FOR CONGRESS,"{2018,2020}","EMERT, JASON",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TN,C00659623,H8TN02200,11/1/17,4/7/19,9/11/18
RON WRIGHT FOR CONGRESS,"{2018,2020}","WRIGHT, SUSAN M.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00662171,H8TX06233,12/1/17,4/15/19,4/9/19
ELECT FAWELL,"{2018,2020}",WILLIAM W FAWELL,H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IL,C00675728,"C00675728,H4IL17077",4/6/18,2/4/19,5/23/18
ELIZABETH ADADI FOR CONGRESS CAMPAIGN COMMITTEE,"{2018,2020}","ADADI, JR., SONNY",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00673004,H8FL27219,3/10/18,2/19/19,5/8/18
WILL FOSTER 4 CONGRESS,{2018},WILL FOSTER PHD,H,House,T,P,Principal campaign committee,,,,,AZ,C00635623,H8AZ02102,3/21/17,6/2/17,5/30/17
JASON FOR INDIANA,"{2018,2020}",JASON LEINEWEBER,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IN,C00647602,H8IN09073,6/13/17,7/2/17,6/13/17
MACKENZIE FOR CONGRESS,"{2018,2020}","JUKUS, JOEL",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00655175,H8PA15195,9/12/17,4/13/19,9/12/17
THE COMMITTEE TO ELECT CHRIS MANNING,"{2018,2020}","MANNING, CHRISTOPHER",H,House,Q,P,Principal campaign committee,,,LIB,LIBERTARIAN PARTY,NM,C00688671,H8NM03246,10/2/18,4/15/19,10/2/18
FRIENDS OF RICH DENNISON,"{2018,2020}","DENNISON, RICHARD",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00664029,,12/26/17,12/26/17,12/26/17
SECURITY 44,{2018},"ZAMORE, JUDITH",H,House,T,J,Joint fundraising committee,,,,,DC,C00677104,,4/24/18,11/5/18,4/24/18
THE COMMITTEE TO ELECT EMILY RAFI,"{2018,2020}","DANCIK, GEOFFREY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00692830,H0MI03233,12/14/18,12/14/18,12/14/18
FRIENDS OF SUSAN BOSER,"{2018,2020}","BRADY, DAVID",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00670364,H8PA09065,2/18/18,4/13/19,4/8/18
NADEEM MAZEN FOR CONGRESS,"{2018,2020}","JENSEN, MARK A.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MA,C00656124,H8MA03098,9/21/17,9/21/17,9/21/17
ELECT DARRYL GLENN,"{2018,2020}","MARSTON, CHRIS",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CO,C00650481,H8CO05148,7/16/17,4/15/19,7/16/17
SHELLY CHAUNCEY FOR CONGRESS,"{2018,2020}","PETKA, ERIN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00666438,H8PA07168,1/18/18,2/15/19,3/13/18
COMMITTEE TO ELECT JOE WALZ,"{2018,2020}","SANDREA, JOHN",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00693176,H0TX22153,12/29/18,1/31/19,12/29/18
TRACY MITRANO FOR CONGRESS,"{2018,2020}","BLEIWAS, PAMELA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00654525,H8NY23183,9/1/17,4/17/19,4/5/19
CHARLOTTE MOORE FOR CONGRESS,{2018},"PATSEL, GLENDA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,VA,C00670307,H8VA06161,2/16/18,9/13/18,5/30/18
JAMES VELTMEYER FOR CONGRESS,"{2018,2020}","SLATER, JEN",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00650879,H8CA52110,7/19/17,4/8/19,7/19/17
STEVE SMITH FOR CONGRESS,"{2018,2020}","SATTERFIELD, DAVID",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,AZ,C00641431,H8AZ01229,5/24/17,4/15/19,5/24/17
WAR VETERANS FUND,"{2018,2020}","MARSTON, CHRIS",H,House,Q,J,Joint fundraising committee,,,,,VA,C00675637,,4/7/18,4/16/19,12/4/18
CLAUDIA TENNEY FOR CONGRESS,"{2018,2020}","LISKER, LISA",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NY,C00632828,H4NY22051,2/13/17,4/15/19,12/10/18
SCOTT SALMON FOR CONGRESS,"{2018,2020}","LINDENBERG, JARED",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00637728,H8NJ07181,4/17/17,4/14/19,8/31/18
CAMPAIGN FOR THERESA WRIGHT,{2018},DEBRA BROWN,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00659953,"H8PA07259,S8PA00338",10/30/17,6/6/18,3/8/18
GREGORY FOR CONGRESS,"{2018,2020}","CASALE, JEFFREY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00666255,H6NY02124,1/17/18,2/28/19,1/17/18
SCOTT OLMER FOR CONGRESS,{2018},"OLMER, SCOTT",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WI,C00636589,H8WI06080,4/3/17,7/23/18,10/19/17
SOREN SORENSEN FOR US HOUSE,"{2018,2020}","BAKKER, ABBEY",H,House,Q,P,Principal campaign committee,,,DFL,DEMOCRATIC-FARM-LABOR,MN,C00680793,H8MN08100,6/12/18,7/15/18,6/12/18
VOTE TIM WORKINGMAN RADICE,{2018},"RADICE, TIMOTHY MICHAEL",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IN,C00664383,H8IN04215,1/1/18,6/13/18,1/15/18
HOOSIERS FOR SEAN DUGDALE,"{2018,2020}","DUGDALE, SEAN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IN,C00639542,H8IN05147,5/5/17,4/15/18,5/5/17
KENDRA HORN FOR CONGRESS,"{2018,2020}","COFFEY, ALLYSON",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OK,C00648915,H8OK05109,7/1/17,4/15/19,3/7/19
SANTAMARIA FOR CONGRESS 2018,"{2018,2020}","MONTGOMERY, THOMAS E MR. III",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00664698,H6CA05336,1/3/18,1/3/18,1/3/18
"MASTERMAN-SMITH, MIKE","{2018,2020}","SMITH, RAY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00666289,H8CA25124,1/17/18,2/5/19,1/17/18
ANA MARIA PEREZ FOR CONGRESS,"{2018,2020}","PEREZ GISSY, ANA MARIA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AZ,C00651620,H8AZ04132,7/27/17,2/19/19,9/1/17
FRIENDS OF ANDREW LEWIS,{2018},"MARSTON, CHRIS",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00657320,H8PA11087,10/6/17,4/10/18,10/6/17
RICH EICHHOLZ FOR CONGRESS,{2018},"BRENGARTH, MEGAN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00650242,H8MI06148,7/12/17,9/11/18,7/12/17
OMAR2020,"{2018,2020}","REYES, OMAR",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,FL,C00689554,H0FL22050,10/14/18,3/31/19,10/14/18
FRIENDS OF NATHAN ARROYAVE,"{2018,2020}","ARROYAVE, NATHAN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IL,C00634618,H8IL16088,3/9/17,7/14/17,3/9/17
"CRIDER FOR CONGRESS, INC",{2018},"HERNDON, BRADLEY J MR",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IN,C00653626,H8IN06095,8/22/17,2/16/18,8/22/17
FRIENDS OF PAUL SCHAFFNER,"{2018,2020}","JUNGLES, DERRICK",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,ND,C00670349,H0ND00127,2/17/18,2/17/18,2/17/18
MILLER FOR CONGRESS,"{2018,2020}","JILLSON, LUKE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IN,C00633453,H8IN08133,2/21/17,2/21/17,2/21/17
TIM GREIMEL FOR CONGRESS,"{2018,2020}","GREIMEL, JILL",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00659318,H8MI11338,10/27/17,4/15/19,10/27/17
COLOMBO FOR CONGRESS,{2018},"REPP, JAMES",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IL,C00633990,H8IL12087,2/27/17,7/20/17,4/10/17
BIG TROY 2018 FOR CONGRESS,{2018},"JEFFRIES, TERRY",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00664771,H8TX06340,1/3/18,4/24/18,1/3/18
REMMER FOR CONGRESS,{2018},"MONTGOMERY, THOMAS E III",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00672980,H8CA12270,3/9/18,12/11/18,3/9/18
WORDHOUSE FOR CONGRESS,{2018},ROSS WORDHOUSE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OR,C00651380,H8OR02138,7/25/17,1/18/18,1/9/18
KIA FOR CONGRESS,{2018},"PETTERSON, JAY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00636951,H8CA45155,4/6/17,9/7/18,4/6/17
BILLY KOVACS FOR CONGRESS,"{2018,2020}","KOVACS, BILLY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AZ,C00636175,H8AZ02110,3/29/17,2/19/19,4/15/18
REED4INDIANA,"{2018,2020}","BROWN, DEBORAH RUSSELL",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IN,C00638700,,4/27/17,4/27/17,4/27/17
"CARLOS J REYES FOR CONGRESS COMMITTEE, INC.","{2018,2020}","CURTIS, ELIZABETH",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00652693,H8FL23051,8/8/17,4/14/19,8/8/17
