name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
STEPHANIE MURPHY FOR CONGRESS,"{2016,2018,2020}","HAGGARD, LORA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00620443,H6FL07140,6/22/16,4/15/19,5/21/18
COMMITTEE TO ELECT GARY GIGUERE TO CONGRESS,"{2002,2004}",ALAN D HARBAUGH,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00379743,H2MI06067,7/9/02,2/11/03,7/9/02
DICK FRANSON FOR CONGRESS VOLUNTEER COMMITTEE,"{1992,1994,1996,1998}",JOELLEN AMERO,H,House,A,P,Principal campaign committee,,,,,MN,C00271460,H6MN07130,7/1/92,9/11/97,7/1/92
"COMMITTEE TO ELECT CRAIG A. NORDAL FOR CONGRESS, LLC","{2018,2020}","NORDAL, LORI DAWN",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00672055,H8CA49157,3/3/18,4/6/19,3/9/18
"CAMPAIGN FOR W. L. SWARTS, THE",{2006},W L SWARTS,H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,NY,C00413120,H6NY23500,7/4/05,12/20/05,7/11/05
COMMITTEE TO ELECT AUXIER,"{2018,2020}","REH, JANE",H,House,T,P,Principal campaign committee,,,GRE,GREEN PARTY,IL,C00674317,H8IL12152,3/26/18,3/20/19,6/6/18
LEE THOMAS MILLER FOR CONGRESS,{2018},"PERRIGO, STEVEN NEIL",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TN,C00659748,H8TN07084,11/3/17,4/25/18,11/3/17
MCGREGOR FOR CONGRESS,"{1986,1988,1990,1992,1994,1996}",SHARON AWE,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MI,C00206342,H4MI03011,5/9/86,1/3/95,1/31/87
STEVE WARECK FOR CONGRESS COMMITTEE,"{1982,1984}",MICHAEL A PATRICELLI,H,House,T,P,Principal campaign committee,,,,,CT,C00149161,H2CT03029,1/25/82,6/30/83,10/21/82
MARK GIBSON FOR CONGRESS,{2014},KRISTEN A GIBSON,H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,VA,C00558783,H2VA11172,3/6/14,7/23/14,3/6/14
OMAR2020,"{2018,2020}","REYES, OMAR",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,FL,C00689554,H0FL22050,10/14/18,3/31/19,10/14/18
JAMES RAJIAH FOR CONGRESS,"{2018,2020}","RAJIAH, CONNIE",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,OH,C00674374,H8OH14152,3/27/18,3/27/18,3/27/18
DANIEL F HERRINGA FOR CONGRESS,"{1992,1994}",JANICE M HERRINGA,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00272054,H2MI01076,7/14/92,2/2/94,7/14/92
SAMPSON FOR CONGRESS,"{2004,2006}",REGINA E TROY,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MD,C00408187,H4MD01077,12/4/04,1/24/06,12/4/04
FRIENDS OF JERRY KLECZKA,"{1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006}",K.A. Hein,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WI,C00174052,H4WI04027,12/21/83,2/1/05,10/17/03
CRITZ-DAHLKEMPER VICTORY FUND,{2010},BRIAN FOUCART,H,House,T,J,Joint fundraising committee,,,,,DC,C00488692,"H0PA12132,H8PA03084",9/8/10,12/14/10,9/8/10
JIM DONCHESS FOR CONGRESS,"{1988,1990,1992,1994,1996,1998}",EDWARD J SULLIVAN,H,House,A,P,Principal campaign committee,,,,,NH,C00228437,H8NH02051,6/2/88,7/15/97,6/2/88
PAUL LAYGO FOR CONGRESS,"{1988,1990,1992}",CHARLES LAYGO,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00229146,H8CA17030,6/22/88,3/2/92,3/30/90
JACKIE SPEIER FOR CONGRESS,"{1980,1982}",CONSTANCE ANN O'BRIEN,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00107722,H0CA11204,2/5/79,12/22/81,2/20/79
JACOB PERNULA FOR CONGRESS,{2016},"PERNULA, JACOB",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WA,C00616284,H6WA01188,5/2/16,6/15/16,5/23/16
CAROL FOR CONGRESS,"{2018,2020}","MILLER, CASSIE A.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WV,C00653220,H8WV03097,8/15/17,4/15/19,10/31/18
HAMLIN FOR CONGRESS,"{2018,2020}","HAMLIN, MELODY",H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,NJ,C00671636,,2/28/18,2/3/19,2/28/18
WORKERS AND COMMUNITIES UNITED FOR VILA,"{2014,2016,2018,2020}",JOHN H REYNOLDS,H,House,Q,P,Principal campaign committee,,,GRE,GREEN PARTY,NY,C00563510,,5/19/14,6/18/14,5/19/14
BEILENSON CAMPAIGN COMMITTEE,"{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996}",MARY ELLEN PADILLA,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00081307,H6CA23024,10/7/77,9/13/96,9/9/93
BLANK TO CONGRESS,"{1994,1996}",MS CHARLOTTE VANNOY,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,KY,C00293746,H4KY03103,5/6/94,5/6/94,5/6/94
CHRISTINA ROSETTI EXPLORATORY COMMITTEE FOR CONGRESS,"{2008,2010,2012,2014,2016,2018}",CHRISTINA ROSETTI,H,House,A,P,Principal campaign committee,,,WFP,WORKING FAMILIES PARTY,NY,C00446849,H6NY25141,3/10/08,4/26/18,3/10/08
"RAJ GOYLE FOR CONGRESS, INC.","{2010,2012,2014,2016,2018,2020}",KAREN COMBS,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,KS,C00464735,H0KS04077,7/27/09,2/19/19,3/2/10
AMERICANS FOR JOHN MITCHEL,"{2000,2002,2004}",JOHN R MITCHEL,H,House,A,P,Principal campaign committee,,,,,OH,C00359273,H0OH07070,6/26/00,9/14/04,5/10/04
KATHY STUPAK-THRALL FOR CONGRESS,{1994},MARY ANN CARON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MI,C00292201,H4MI01080,3/26/94,1/27/95,3/26/94
WALLACE FOR CONGRESS,"{2006,2008}",ANDRIUS R KONTRIMAS,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00423707,H6TX22176,4/25/06,3/13/07,4/25/06
CHAVEZ FOR CONGRESS COMMITTEE,{1988},ARTHUR F CHAVEZ,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00225987,H8CA10043,4/19/88,7/19/88,4/19/88
PONZIO FOR CONGRESS,{1992},RAMIRO GUZMAN,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00261545,H2TX00056,2/28/92,4/27/93,3/10/92
FRIENDS OF GINEEN BRESSO,"{2012,2014}","SATTERFIELD, DAVID",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00512384,H2FL20092,2/10/12,9/5/13,1/31/13
BABIN HIGGINS VICTORY FUND,{2020},"KEEL, THORNTON",H,House,Q,J,Joint fundraising committee,,,,,TX,C00702175,,4/14/19,4/14/19,4/14/19
COMMITTEE TO ELECT DUDLEY W TAYLOR TO CONGRESS,"{1988,1990,1992,1994,1996}",JAMES W PARRIS,H,House,A,P,Principal campaign committee,,,,,TN,C00229724,H8TN02036,1/1/88,5/15/96,6/8/92
DAVE GROSS FOR CONGRESS COMMITTEE,"{2000,2002}",ERIK MICHELSEN,H,House,T,P,Principal campaign committee,,,GRE,GREEN PARTY,MD,C00359943,H0MD01141,7/19/00,3/23/01,7/19/00
"KARL SIGANPORIA FOR CONGRESS: FEDERAL BAN ON RACIAL PREFERENCES AND AFFIRMATIVE ACTION IN EMPLOYMENT AND EDUCATION, AND OTHER SENSIBLE POLICIES (TM)","{2016,2018}","SIGANPORIA, KARL",H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00629972,H8CA34159,12/15/16,4/26/18,12/15/16
CREECH FOR CONGRESS,"{2004,2006}",OLIVER WALL,H,House,A,P,Principal campaign committee,,,,,NC,C00402917,H4NC02085,6/26/04,7/14/06,6/26/04
DOUG WRIGHT FOR CONGRESS,"{1996,1998,2000}",BRADLEY T KOEHN,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,KS,C00319624,H6KS02201,6/17/96,6/29/00,6/17/96
PAT SULLIVAN FOR CONGRESS COMMITTEE,"{1986,1988}",SANDRA MARTINEZ,H,House,T,P,Principal campaign committee,,,,,NY,C00211631,H6NY04096,10/14/86,3/18/88,10/14/86
WATKINS FOR CONGRESS,"{1996,1998,2000,2002,2004}",TOM J DUGGER,H,House,T,P,Principal campaign committee,,,,,OK,C00310839,H6OK03074,1/12/96,2/24/04,5/16/01
COMMITTEE TO ELECT BENNETT TO CONGRESSS,"{2012,2014,2016,2018}",SUSAN OLSEN,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00514091,H2NJ04157,2/29/12,4/27/18,2/29/12
MICHAEL WALTZ FOR CONGRESS,"{2018,2020}","KILGORE, PAUL",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00666396,H8FL06148,1/16/18,4/15/19,12/13/18
MY COMMITTEE NICK SMITH FOR BETTER GOVERNMENT,"{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010}","SMITH, NICK  ",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MI,C00265157,H2MI04021,4/14/92,10/14/10,12/10/06
CHRIS PAULSON FOR CONGRESS COMMITTEE,"{1984,1986}",TORY D BROWN,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CO,C00164913,H2CO06073,1/12/83,4/17/85,1/12/83
COMMITTEE TO ELECT JASON BULGER TO CONGRESS,"{2018,2020}","BULGER, JASON MICHAEL",H,House,Q,P,Principal campaign committee,,,NPA,NO PARTY AFFILIATION,FL,C00666156,H8FL04077,1/16/18,2/19/19,1/16/18
TANCREDO FOR CONGRESS COMMITTEE INC.,"{1998,2000,2002,2004,2006,2008}",Jon W. Ponder,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CO,C00334011,H8CO06054,2/24/98,12/23/08,8/14/03
VOLUNTEERS FOR ROD CHANDLER,"{1982,1984,1986,1988,1990,1992,1994}",GARY SERGEANT,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WA,C00150565,H2WA08018,2/22/82,2/26/93,5/20/91
ORTIZ FOR CONGRESS COMMITTEE,"{1978,1980}",EDWARD P. SAVER,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00093666,H8CA33169,4/25/78,4/25/78,4/25/78
MATTHEW MARTINEZ CONGRESSIONAL COMMITTEE,"{1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004}",DR FRANK J ALDERETE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,VA,C00167437,H2CA30028,5/20/83,3/21/03,12/21/98
CHRIS ANDRADE FOR CONGRESS,{2014},BRANDON KIEHNE,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00555680,H4NC07084,1/22/14,6/3/14,3/24/14
CONGRESSIONAL ASSOCIATES (OFFICE ACCOUNT-DUNCAN),"{1978,1980,1982}",,H,House,A,A,Authorized by a candidate,,,,,TN,C10001691,H6TN02030,10/13/77,10/13/77,
ARMANDO FALCON FOR CONGRESS,{1998},DEBORAH L TREVINO,H,House,T,P,Principal campaign committee,,,,,TX,C00329995,H8TX20051,9/22/97,9/18/98,9/22/97
MAXFIELD FOR CONGRESS,"{1996,1998}",PATTI L CASTLE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WY,C00311795,H0WY00053,1/30/96,6/26/98,1/30/96
BEALE FOR CONGRESS,"{2012,2014,2016,2018,2020}",STEVEN R BURRIS,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IL,C00540385,H4IL02178,1/4/13,4/15/19,1/4/13
LANE FOR CONGRESS,"{1988,1990}",GERARD HINES,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NJ,C00227017,H8NJ09062,5/4/88,6/9/89,5/4/88
FELDMAN FOR CONGRESS COMMITTEE,"{1986,1988,1990,1992,1994,1996}",DEBBIE KAY LANIUS,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TN,C00207811,H0TN05010,6/10/86,1/3/95,6/10/86
FRIENDS OF DEREK KITTS,"{2016,2018,2020}","BUCHANAN, PATRICIA A MRS",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,VA,C00610600,H6VA09086,3/2/16,2/19/19,3/2/16
PORT AUTHORITY OF NEW YORK AND NEW JERSEY,"{1986,1988,1990,1992}",DENIS JASLOW,H,House,A,P,Principal campaign committee,,,,,NJ,C00211672,H6NJ09058,10/7/86,3/25/92,10/7/86
TOM JAMESON FOR CONGRESS,"{1992,1994,1996}",THOMAS ARTHUR JAMESON,H,House,A,P,Principal campaign committee,,,,,CA,C00266684,H2CA43294,4/29/92,4/29/92,4/29/92
BEN STUCKART FOR CONGRESS,"{2016,2018}","MARNEY, BARBARA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WA,C00629790,H8WA05169,12/9/16,8/7/17,12/9/16
OATMAN FOR CONGRESS,"{2018,2020}","CRUMMITT, GARY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00636969,H8CA48043,4/6/17,4/15/19,8/31/17
COMMITTEE TO ELECT FLYNN D. BROADY JR.,"{2018,2020}","PRINGLE, ERNEST",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,GA,C00675959,H8GA11062,4/10/18,4/15/19,4/10/18
COMMITTEE TO ELECT GEORGE WALDRON,"{1978,1980}",WANDA L. SIMONS,H,House,T,P,Principal campaign committee,,,AIP,AMERICAN INDEPENDENT PARTY,CA,C00096388,H8CA14052,5/25/78,3/19/79,5/25/78
AMMAR CAMPA FOR CONGRESS,"{2018,2020}","LEWIS, DENISE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00635888,H8CA50098,3/27/17,4/24/19,12/31/18
FRIENDS OF MORGAN PHILPOT CAMPAIGN COMMITTEE,"{2010,2012}",MIKE MCCAULEY CPA,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,UT,C00476689,H0UT02203,2/17/10,2/27/12,2/17/10
COMMITTEE TO ELECT JAMES F HANING II,"{2012,2014,2016,2018}",JAMES FRANKLIN HANING II,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NV,C00504324,H2NV03096,10/21/11,4/26/18,10/21/11
FRIENDS OF BILL BONER,"{1980,1982,1984,1986,1988}",TOBY S WILT,H,House,T,P,Principal campaign committee,,,,,TN,C00109041,H8TN05021,4/12/79,10/21/88,8/23/88
FRIENDS OF CHARLIE HOLLEY,"{2012,2014,2016}",CASSANDRA LYNN HOLLEY,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AL,C00519157,H2AL05094,4/13/12,12/16/15,4/13/12
NORA JENKINS FOR CONGRESS COMMITTEE,{1994},NORA JENKINS WEBER,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00287698,H4CA21049,1/13/94,2/24/95,1/13/94
STENHOLM FOR CONGRESS COMMITTEE,"{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006}",Don Starr,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00081141,H8TX17081,10/3/77,7/11/06,8/12/03
MICHAEL THOMPSON FOR CONGRESS,{2002},MICHAEL THOMPSON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,SC,C00377853,H2SC03081,5/23/02,7/26/02,5/23/02
HOOSER FOR HAWAII,{2012},CARL F IMPARATO,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,HI,C00503649,H6HI02269,10/12/11,2/3/12,10/12/11
DAVID BOLING FOR CONGRESS,"{2010,2012}",CHRIS KELL,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AR,C00477315,H0AR02156,2/24/10,2/17/12,2/24/10
COMMITTEE TO ELECT KWICINSKI,"{1978,1980,1982}",TIMOTHY KOPONEN,H,House,T,P,Principal campaign committee,,,LAB,U.S. LABOR PARTY,MI,C00098426,H8MI04028,6/26/78,3/26/80,6/26/78
STEVE STERN FOR CONGRESS,{2016},GARY CARPENTER,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00607044,H6NY03221,1/22/16,9/2/16,1/22/16
COMMITTEE TO ELECT GRADY D'CUMMINGS III,"{1988,1990,1992,1994,1996}",LA SANDRA SINGRAM,H,House,A,P,Principal campaign committee,,,,,NY,C00225458,H8NY11022,4/5/88,9/13/94,2/26/92
"SOUDER FOR CONGRESS, INC.","{1994,1996,1998,2000,2002,2004,2006,2008,2010,2012}",JEFFREY L. TURNER,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IN,C00285189,H4IN04099,11/8/93,1/19/12,9/8/11
ELECTION OF RALPH WALSH FOR CONGRESS,"{1994,1996}",RAYMOND REGALADO,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00296863,H4NJ04047,7/28/94,11/15/96,7/28/94
KATS FOR CONGRESS,{2008},"Hano, Nick",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00447318,H8PA13083,3/17/08,12/9/08,7/31/08
CHRIS PAPPAS FOR CONGRESS,"{2018,2020}","MONGAN, ROBERT",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NH,C00660464,H8NH01210,11/13/17,4/15/19,4/10/19
PRIDEMORE FOR CONGRESS,"{2014,2016}","CROSBY, CALEB MR.",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,GA,C00544726,H4GA11087,5/10/13,7/24/15,2/13/15
LINDBECK FOR ALASKA,"{2016,2018}",JAY PETTERSON,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AK,C00615302,H6AK00235,4/18/16,2/14/18,4/18/16
DOLD FOR CONGRESS,"{2010,2012,2014,2016,2018,2020}","DOLD, ROBERT JAMES JR",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IL,C00465971,H0IL10302,8/21/09,4/3/19,3/7/17
RICHARD WALDRON FOR CONGRESS,"{1994,1996,1998}",JOHNIE JAMES WALDRON,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00291351,H4CA41070,3/23/94,9/11/97,1/18/96
BRADLEY FOR CONGRESS,{1984},BRUCE W BREITWEISER,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IL,C00186791,H4IL18018,7/2/84,4/12/85,7/2/84
RALPH DUNCAN FOR CONGRESS,"{1982,1984}",RICKY L WOOD,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TN,C00149831,H2TN07020,2/1/82,10/14/83,2/1/82
COMMITTEE TO ELECT BRIAN PAPPAS TO THE U S CONGRESS,"{1988,1990}",ROBERT M BUCKLE,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00221796,H8FL13052,1/27/88,4/28/89,1/27/88
MARY BETH HACKE FOR CONGRESS,"{1998,2000}",CHRISTOPHER SEAN TERRICK,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00335901,H8PA18074,4/9/98,9/29/00,4/9/98
SIMON ALVAREZ AS YOUR CONGRESSMAN,"{2018,2020}","ALVAREZ, SIMON MARK",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00656652,H8CA34340,10/1/17,10/1/17,10/1/17
JENNIFER HORN FOR CONGRESS,"{2008,2010,2012,2014,2016,2018,2020}",MARK S COOKSON,H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NH,C00446914,H8NH02192,3/7/08,1/31/19,3/7/08
TONY AUSTIN SOCIALIST CAMPAIGN FOR U.S. CONGRESS,"{1978,1980}",RICHARD ARIZA,H,House,T,P,Principal campaign committee,,,SWP,SOCIALIST WORKERS PARTY,NJ,C00103093,H8NJ10037,11/13/78,5/5/80,11/13/78
GEORGE J PETROVICH JR FOR CONGRESS,{1990},JOHN TITTLE JR,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00237586,H0TX12113,7/18/89,3/9/90,7/18/89
BRAUNER FOR CONGRESS,"{2004,2006}",THOMAS C SPENCER,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MO,C00392860,H4MO05218,11/21/03,7/14/06,11/21/03
ED STANTON FOR CONGRESS,"{2006,2008}",MICHAEL WILSON,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TN,C00416834,H6TN09241,11/17/05,7/3/07,11/17/05
LEVIN ROUDA VICTORY FUND,"{2018,2020}","MAY, JENNIFER",H,House,T,J,Joint fundraising committee,,,,,DC,C00683466,,7/23/18,2/3/19,7/23/18
TEAM TELLURIDE 2019,"{2018,2020}","KILGORE, PAUL",H,House,Q,J,Joint fundraising committee,,,,,GA,C00692848,,12/14/18,4/11/19,12/14/18
"DURAN FOR CONGRESS 2012, INC.","{2012,2014}","PRESLEY, BETTY",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00515320,H2CA27206,3/8/12,7/17/13,3/26/12
MARY J FARINELLI CAMPAIGN COMMITTEE,"{1992,1994}",MARY J FARINELLI,H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,MA,C00272252,H2MA05062,7/15/92,1/12/93,7/15/92
EAST END COMMITTEE,{2016},"KILGORE, PAUL",H,House,T,J,Joint fundraising committee,,,,,GA,C00619627,,6/10/16,11/1/16,6/10/16
GEORGE DEMOS FOR CONGRESS 2012,"{2012,2014}",KEVIN TSCHIRHART,H,House,T,A,Authorized by a candidate,,,REP,REPUBLICAN PARTY,NY,C00500553,H0NY01137,8/8/11,9/6/13,8/8/11
REPUBLICANS FOR JOHN WAYNE CATON,"{1990,1992}",FRED SCHREYER,H,House,T,A,Authorized by a candidate,,,DEM,DEMOCRATIC PARTY,TX,C00248260,H0TX26014,9/6/90,3/13/92,9/6/90
QUEEN FOR CONGRESS,{2018},"BAUER, SARAH DAVIS",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NC,C00646406,H8NC10089,5/26/17,10/31/17,5/26/17
DENNY HEATH FOR CONGRESS,{2004},DENNY HEATH,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00401745,H2IA01048,6/2/04,12/14/04,
