"","candidate_id","candidate.x","party","state.x","district.x","incumbent_challenge","state.y","district.y","region","hold_flip","candidate.y","lose_per","win_per","delta"
"107","H8CA44117","BROWN, AJA","DEM","CA",44,"C","CA",44,"west","Dem Hold","Brown",31.7,68.3,"36.6"
"108","H8CA46120","LAMBERT, RUSSELL RENE","REP","CA",46,"C","CA",46,"west","Dem Hold","Lambert",30.9,69.1,"38.2"
"109","H8CA47078","BRISCOE, JOHN","REP","CA",47,"C","CA",47,"west","Dem Hold","Briscoe",35.1,64.9,"29.8"
"110","H8CA49082","HARKEY, DIANE","REP","CA",49,"O","CA",49,"west","Dem Pickup","Harkey",43.6,56.4,"12.8"
"111","H8CA50098","CAMPA-NAJJAR, AMMAR","DEM","CA",50,"C","CA",50,"west","GOP Hold","Campa-Najjar",48.3,51.7,"3.4"
"112","H8CA51062","HIDALGO, JUAN","REP","CA",51,"C","CA",51,"west","Dem Hold","Hidalgo",28.8,71.2,"42.4"
"113","H8CA52102","QUDRAT, OMAR","REP","CA",52,"C","CA",52,"west","Dem Hold","Qudrat",36.2,63.8,"27.6"
"114","H8CA53084","MURTAUGH, MORGAN","REP","CA",53,"C","CA",53,"west","Dem Hold","Murtaugh",30.9,69.1,"38.2"
"115","H8CO01162","STOCKHAM, CHARLES (CASPER) WESLEY","REP","CO",1,"C","CO",1,"west","Dem Hold","Stockham",23,73.8,"50.8"
"116","H8CO02251","YU, PETER","REP","CO",2,"O","CO",2,"west","Dem Hold","Yu",33.6,60.3,"26.7"
"117","H8CO03192","MITSCH BUSH, DIANE MS.","DEM","CO",3,"C","CO",3,"west","GOP Hold","Mitsch",43.6,51.5,"7.9"
"118","H8CO04091","MCCORMICK, KAREN A DVM","DEM","CO",4,"C","CO",4,"west","GOP Hold","McCormick",39.4,60.6,"21.2"
"119","H8CO05130","SPAULDING, STEPHANY ROSE","DEM","CO",5,"C","CO",5,"west","GOP Hold","Spaulding",39.3,57,"17.7"
"120","H8CO06138","COFFMAN, MIKE REP.","REP","CO",6,"I","CO",6,"west","Dem Pickup","Coffman",42.9,54.1,"11.2"
"121","H8CO07094","BARRINGTON, MARK","REP","CO",7,"C","CO",7,"west","Dem Hold","Barrington",35.4,60.4,"25"
"122","H8CT04214","ARORA, HARRY","REP","CT",4,"C","CT",4,"northeast","Dem Hold","Arora",39.1,60.9,"21.8"
"123","H8CT05187","SANTOS, MANNY","REP","CT",5,"O","CT",5,"northeast","Dem Hold","Santos",44.2,55.8,"11.6"
"124","H8FL01115","ZIMMERMAN, JENNIFER MIJARES DR.","DEM","FL",1,"C","FL",1,"south","GOP Hold","Zimmerman",32.9,67.1,"34.2"
"125","H8FL02097","RACKLEFF, ROBERT BRUCE","DEM","FL",2,"C","FL",2,"south","GOP Hold","Rackleff",32.6,67.4,"34.8"
"126","H8FL03038","HINSON, YVONNE HAYES MS","DEM","FL",3,"C","FL",3,"south","GOP Hold","Hayes",42.4,57.6,"15.2"
"127","H8FL04085","SELMONT, GEORGE AUSTIN","DEM","FL",4,"C","FL",4,"south","GOP Hold","Selmont",32.4,65.2,"32.8"
"128","H8FL05157","FULLER, VIRGINIA","REP","FL",5,"C","FL",5,"south","Dem Hold","Fuller",33.2,66.8,"33.6"
"129","H8FL06098","SODERBERG, NANCY","DEM","FL",6,"O","FL",6,"south","GOP Hold","Soderberg",43.7,56.3,"12.6"
"130","H8FL07062","MILLER, MIKE","REP","FL",7,"C","FL",7,"south","Dem Hold","Miller",42.3,57.7,"15.4"
"131","H8FL08102","PATEL, SANJAY SOMABHAI","DEM","FL",8,"C","FL",8,"south","GOP Hold","Patel",39.5,60.5,"21"
"132","H8FL11130","COTTRELL, DANA","DEM","FL",11,"C","FL",11,"south","GOP Hold","Cottrell",34.8,65.2,"30.4"
"133","H8FL12088","HUNTER, CHRISTOPHER J.","DEM","FL",12,"C","FL",12,"south","GOP Hold","Hunter",39.7,58.1,"18.4"
"134","H8FL13136","BUCK, GEORGE WILLIAM PHD","REP","FL",13,"C","FL",13,"south","Dem Hold","Buck",42.4,57.6,"15.2"
"135","H8FL15271","CARLSON, KRISTEN","DEM","FL",15,"O","FL",15,"south","GOP Hold","Carlson",47,53,"6"
"136","H8FL16055","SHAPIRO, M. DAVID","DEM","FL",16,"C","FL",16,"south","GOP Hold","Shapiro",45.4,54.6,"9.2"
"137","H8FL18028","BAER, LAUREN","DEM","FL",18,"C","FL",18,"south","GOP Hold","Baer",45.7,54.3,"8.6"
"138","H8FL19067","HOLDEN, DAVID","DEM","FL",19,"C","FL",19,"south","GOP Hold","Holden",37.7,62.3,"24.6"
"139","H8FL22061","KIMAZ, NICOLAS T MR.","REP","FL",22,"C","FL",22,"south","Dem Hold","Kimaz",38,62,"24"
"140","H8FL27086","BARZEE FLORES, MARY","DEM","FL",25,"O","FL",25,"south","GOP Hold","Barzee",39.5,60.5,"21"
"141","H8FL27185","SALAZAR, MARIA ELVIRA","REP","FL",27,"O","FL",27,"south","Dem Pickup","Salazar",45.8,51.8,"6"
"142","H8GA01063","RING, LISA M. MS.","DEM","GA",1,"C","GA",1,"south","GOP Hold","Ring",42.3,57.7,"15.4"
"143","H8GA02087","WEST, HERMAN JR.","REP","GA",2,"C","GA",2,"south","Dem Hold","West",40.4,59.6,"19.2"
"144","H8GA03051","ENDERLIN, CHARLES JOSEPH JR.","DEM","GA",3,"C","GA",3,"south","GOP Hold","Enderlin",34.5,65.5,"31"
"145","H8GA04125","PROFIT, JOSEPH","REP","GA",4,"C","GA",4,"south","Dem Hold","Profit",21.2,78.8,"57.6"
"146","H8GA06286","HANDEL, KAREN CHRISTINE","REP","GA",6,"C","GA",6,"south","Dem Pickup","Handel",49.5,50.5,"1"
"147","H8GA07201","BOURDEAUX, CAROLYN","DEM","GA",7,"O","GA",7,"south","GOP Hold","Bourdeaux",49.9,50.1,"0.2"
"148","H8GA09058","MCCALL, JOSHUA BRAXTON","DEM","GA",9,"C","GA",9,"south","GOP Hold","McCall",20.5,79.5,"59"
"149","H8GA10197","JOHNSON-GREEN, TABITHA","DEM","GA",10,"C","GA",10,"south","GOP Hold","Johnson-Green",37.1,62.9,"25.8"
"150","H8GA11062","BROADY, FLYNN D. JR.","DEM","GA",11,"C","GA",11,"south","GOP Hold","Broady",38.2,61.8,"23.6"
"151","H8GA12078","JOHNSON, FRANCYS","DEM","GA",12,"C","GA",12,"south","GOP Hold","Johnson",40.5,59.5,"19"
"152","H8GA13035","CALLAHAN, DAVID ALAN","REP","GA",13,"C","GA",13,"south","Dem Hold","Callahan",23.8,76.2,"52.4"
"153","H8GA14025","FOSTER, STEVEN","DEM","GA",14,"C","GA",14,"south","GOP Hold","Foster",23.5,76.5,"53"
"154","H8HI00012","CAVASSO, CAMPBELL","REP","HI",1,"O","HI",1,"west","Dem Hold","Cavasso",23.1,73.1,"50"
"155","H8IA04106","SCHOLTEN, JAMES D.","DEM","IA",4,"C","IA",4,"midwest","GOP Hold","Scholten",47,50.4,"3.4"
"156","H8ID01215","MCNEIL, ANA","DEM","ID",1,"O","ID",1,"west","GOP Hold","McNeil",30.8,62.7,"31.9"
"157","H8ID02148","SWISHER, CARLTON AARON","DEM","ID",2,"C","ID",2,"west","GOP Hold","Swisher",39.3,60.7,"21.4"
"158","H8IL04175","LORCH, MARK WAYNE","REP","IL",4,"O","IL",4,"midwest","Dem Hold","Lorch",13.4,86.6,"73.2"
"159","H8IL08101","DIGANVKER, JITENDRA JD","REP","IL",8,"C","IL",8,"midwest","Dem Hold","Diganvker",34,66,"32"
"160","H8IL09224","ELLESON, JOHN D","REP","IL",9,"C","IL",9,"midwest","Dem Hold","Elleson",26.5,73.5,"47"
"161","H8IL10115","BENNETT, DOUGLAS R 1963","REP","IL",10,"C","IL",10,"midwest","Dem Hold","Bennett",34.4,65.6,"31.2"
"162","H8IL12129","KELLY, BRENDAN","DEM","IL",12,"C","IL",12,"midwest","GOP Hold","Kelly",45.4,51.6,"6.2"
"163","H8IL13150","LONDRIGAN, BETSY DIRKSEN","DEM","IL",13,"C","IL",13,"midwest","GOP Hold","Dirksen",49.6,50.4,"0.8"
"164","H8IL15072","GAITHER, KEVIN","DEM","IL",15,"C","IL",15,"midwest","GOP Hold","Gaither",29.1,70.9,"41.8"
"165","H8IL16120","DADY, SARA","DEM","IL",16,"C","IL",16,"midwest","GOP Hold","Dady",40.9,59.1,"18.2"
"166","H8IN01096","LEYVA, MARK J","REP","IN",1,"C","IN",1,"midwest","Dem Hold","Leyva",34.9,65.1,"30.2"
"167","H8IN02169","HALL, MEL","DEM","IN",2,"C","IN",2,"midwest","GOP Hold","Hall",45.2,54.8,"9.6"
"168","H8IN03076","TRITCH, COURTNEY","DEM","IN",3,"C","IN",3,"midwest","GOP Hold","Tritch",35.3,64.7,"29.4"
"169","H8IN04124","BECK, TOBI","DEM","IN",4,"O","IN",4,"midwest","GOP Hold","Beck",35.9,64.1,"28.2"
"170","H8IN05188","THORNTON, DIERDRE","DEM","IN",5,"C","IN",5,"midwest","GOP Hold","Thornton",43.2,56.8,"13.6"
"171","H8IN06152","LAKE, JEANNINE LEE","DEM","IN",6,"O","IN",6,"midwest","GOP Hold","Lake",32.9,63.8,"30.9"
"172","H8IN07150","HARMON, WAYNE E","REP","IN",7,"C","IN",7,"midwest","Dem Hold","Harmon",35.1,64.9,"29.8"
"173","H8IN08141","TANOOS, WILLIAM","DEM","IN",8,"C","IN",8,"midwest","GOP Hold","Tanoos",35.6,64.4,"28.8"
"174","H8IN09107","WATSON, LIZ","DEM","IN",9,"C","IN",9,"midwest","GOP Hold","Watson",43.5,56.5,"13"
"175","H8KS02173","DAVIS, PAUL T.","DEM","KS",2,"O","KS",2,"midwest","GOP Hold","Davis",46.4,48.1,"1.7"
"176","H8KS04120","THOMPSON, JAMES A MR.","DEM","KS",4,"C","KS",4,"midwest","GOP Hold","Thompson",40.2,59.8,"19.6"
"177","H8KY01074","WALKER, PAUL","DEM","KY",1,"C","KY",1,"south","GOP Hold","Walker",31.4,68.6,"37.2"
"178","H8KY02080","LINDERMAN, HANK","DEM","KY",2,"C","KY",2,"south","GOP Hold","Linderman",31.1,66.7,"35.6"
"179","H8KY03211","GLISSON, VICKIE YATES BROWN","REP","KY",3,"C","KY",3,"south","Dem Hold","Glisson",36.6,62.1,"25.5"
"180","H8KY04169","HALL, SETH BLANE 1962","DEM","KY",4,"C","KY",4,"south","GOP Hold","Hall",34.6,62.2,"27.6"
"181","H8KY06164","MCGRATH, AMY","DEM","KY",6,"C","KY",6,"south","GOP Hold","McGrath",47.8,51,"3.2"
"182","H8LA01122","SAVOIE, TAMMY MARIE DR","DEM","LA",1,"C","LA",1,"south","GOP Hold","Savoie",16.4,71.5,"55.1"
"183","H8LA03094","METHVIN, MIMI","DEM","LA",3,"C","LA",3,"south","GOP Hold","Methvin",17.8,55.7,"37.9"
"184","H8LA04282","TRUNDLE, RYAN","DEM","LA",4,"C","LA",4,"south","GOP Hold","Trundle",33.6,64.2,"30.6"
"185","H8LA05099","FLEENOR, JESSEE CARLTON","DEM","LA",5,"C","LA",5,"south","GOP Hold","Fleenor",30,66.5,"36.5"
"186","H8LA06154","DEWITT, JUSTIN","DEM","LA",6,"C","LA",6,"south","GOP Hold","Dewitt",20.5,69.5,"49"
"187","H8MA02116","LOVVORN, TRACY LYN","REP","MA",2,"C","MA",2,"northeast","Dem Hold","Lovvorn",32.8,67.2,"34.4"
"188","H8MA03114","GREEN, RICK","REP","MA",3,"O","MA",3,"northeast","Dem Hold","Green",33.5,62,"28.5"
"189","H8MA06133","SCHNEIDER, JOSEPH","REP","MA",6,"C","MA",6,"northeast","Dem Hold","Schneider",31.4,65.2,"33.8"
"190","H8MA09046","TEDESCHI, PETER D. MR.","REP","MA",9,"C","MA",9,"northeast","Dem Hold","Tedeschi",40.5,59.5,"19"
"191","H8MD01193","COLVIN, JESSE","DEM","MD",1,"C","MD",1,"south","GOP Hold","Colvin",38.1,60,"21.9"
"192","H8MD02118","MATORY, LIZ","REP","MD",2,"C","MD",2,"south","Dem Hold","Matory",30.7,66.1,"35.4"
"193","H8MD07083","DAVIS, RICHMOND","REP","MD",7,"C","MD",7,"south","Dem Hold","Davis",21.3,76.5,"55.2"
"194","H8MI01149","MORGAN, MATTHEW WADE","DEM","MI",1,"C","MI",1,"midwest","GOP Hold","Morgan",43.7,56.3,"12.6"
"195","H8MI02113","DAVIDSON, ROBERT MICHAEL DR","DEM","MI",2,"C","MI",2,"midwest","GOP Hold","Davidson",43,55.3,"12.3"
"196","H8MI03079","ALBRO, CATHERINE","DEM","MI",3,"C","MI",3,"midwest","GOP Hold","Albro",43.2,54.4,"11.2"
"197","H8MI06155","LONGJOHN, MATT","DEM","MI",6,"C","MI",6,"midwest","GOP Hold","Longjohn",45.7,50.2,"4.5"
"198","H8MI09092","STEARNS, CANDIUS MRS.","REP","MI",9,"O","MI",9,"midwest","Dem Hold","Stearns",36.8,59.7,"22.9"
