"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"14","NANCY PELOSI FOR CONGRESS","C00213512","PELOSI, NANCY","H8CA05035","DEM","CA",12,"west","I","Dem Hold",86.8,13.2,"73.6",5700008.64,NA,86200,NA,1187137.65,159583,464087.28,NA,155714.2,5840.74,115.2,NA,NA,NA,549875,67419.85
"15","DEFAZIO FOR CONGRESS","C00215905","DEFAZIO, PETER A","H6OR04047","DEM","OR",4,"west","I","Dem Hold",56,40.9,"15.1",1542392.03,20153,NA,NA,238048,137409.19,419090.72,43.5,7175.23,125998.19,103715.42,NA,NA,150,15088.82,NA
"16","NITA LOWEY FOR CONGRESS","C00219881","LOWEY, NITA M","H8NY20056","DEM","NY",17,"northeast","I","Dem Hold",88,12,"76",1391084.61,999.86,NA,834,178545.96,188810.09,1422,NA,7807.18,28418.85,23056.04,NA,NA,NA,NA,2825
"17","RICHARD E NEAL FOR CONGRESS COMMITTEE","C00226522","NEAL, RICHARD E MR.","H8MA02041","DEM","MA",1,"northeast","I","Dem Hold",97.6,0,"97.6",3934719.6,20632.91,NA,NA,281000,400213.76,259030.9,2698.14,149412.12,493447.03,4317.91,299.99,NA,10417.92,NA,1265.59
"18","PALLONE FOR CONGRESS","C00226928","PALLONE, FRANK JR","H8NJ03073","DEM","NJ",6,"northeast","I","Dem Hold",63.6,36.4,"27.2",1942187.35,NA,NA,NA,224433,106535.77,310827.57,NA,30854.05,6961.27,1570.35,NA,NA,NA,NA,NA
"19","ENGEL FOR CONGRESS","C00236513","ENGEL, ELIOT L.","H8NY19058","DEM","NY",16,"northeast","I","Dem Hold",100,0,"100",2315163.42,50000,57000,2654.33,319520.97,244522.62,NA,NA,34339.48,90712.11,99200,NA,50000,NA,NA,10558.6
"20","FRIENDS OF ROSA DELAURO","C00238865","DELAURO, ROSA L","H0CT03072","DEM","CT",3,"northeast","I","Dem Hold",64.4,35.6,"28.8",1443521.05,15864.84,NA,NA,86639.64,86124.5,285543.77,NA,24162.74,45466.74,13834.44,NA,NA,NA,NA,1214.99
"21","SERRANO FOR CONGRESS","C00240986","SERRANO, JOSE E.","H0NY18065","DEM","NY",15,"northeast","I","Dem Hold",96,4,"92",237616.76,NA,NA,NA,111223.81,106847.68,9513.49,NA,NA,6675,NA,NA,NA,NA,NA,NA
"22","PETERSON FOR CONGRESS","C00253187","PETERSON, COLLIN CLARK","H2MN07014","DEM","MN",7,"midwest","I","Dem Hold",52.1,47.9,"4.2",1501663.01,1517883.67,35700,NA,7200,124521.08,145200.52,NA,88.97,51290.73,3484.46,105000,615976.35,77541.16,NA,2675
"23","EDDIE BERNICE JOHNSON FOR CONGRESS","C00254573","JOHNSON, EDDIE BERNICE","H2TX00015","DEM","TX",30,"south","I","Dem Hold",91.1,8.9,"82.2",270061.82,750,NA,NA,72500,72553.47,1800,NA,NA,35534.95,8194.8,NA,NA,750,NA,NA
"24","FRIENDS OF JIM CLYBURN","C00255562","CLYBURN, JAMES E.","H2SC02042","DEM","SC",6,"south","I","Dem Hold",70.2,28.3,"41.9",2599440.85,24426.15,NA,NA,223318,187561.19,NA,NA,102277.36,92563.66,7926.49,2500,NA,NA,NA,17275
"25","SCOTT FOR CONGRESS","C00256925","SCOTT, ROBERT C","H6VA01117","DEM","VA",3,"south","I","Dem Hold",0,8.8,"-8.8",630688.44,NA,NA,NA,21702.07,933.02,55906.6,NA,2193.26,159.08,2872.14,NA,NA,NA,NA,NA
"26","CITIZENS FOR RUSH","C00257121","RUSH, BOBBY LEE","H2IL01042","DEM","IL",1,"midwest","I","Dem Hold",73.5,19.8,"53.7",324133.22,NA,NA,NA,69919.08,103552.15,5000,6700,NA,11114,1511,NA,NA,NA,NA,NA
"27","KEN CALVERT FOR CONGRESS COMMITTEE","C00257337","CALVERT, KEN","H2CA37023","REP","CA",42,"west","I","GOP Hold",56.5,43.5,"13",1835266.53,87701.32,NA,NA,176168.06,222889.32,65386.63,NA,31596.2,194707.84,77337.83,63750,NA,NA,NA,NA
"28","ANNA ESHOO FOR CONGRESS","C00258475","ESHOO, ANNA G","H8CA12098","DEM","CA",18,"west","I","Dem Hold",74.5,25.5,"49",1479331.94,1445.2,27750,3000,447435,399208.27,NA,NA,16819.46,22716.08,92360.5,NA,NA,1445.2,NA,2940
"29","VOLUNTEERS FOR SHIMKUS","C00258855","SHIMKUS, JOHN M","H2IL20042","REP","IL",15,"midwest","I","GOP Hold",70.9,29.1,"41.8",2026095.57,168880.5,29595,NA,NA,800620.41,110054.2,NA,17162.81,152665.6,131290.46,16843.8,16500,51874.11,NA,77103.98
"30","LUCILLE ROYBAL-ALLARD FOR CONGRESS","C00259143","ROYBAL-ALLARD, LUCILLE","H2CA33048","DEM","CA",40,"west","I","Dem Hold",77.3,22.7,"54.6",662185.07,15000.02,NA,1960.63,51279.54,18559.19,177721.45,NA,1809.49,61710.09,1844.7,NA,NA,NA,NA,NA
"31","SANFORD BISHOP FOR CONGRESS","C00266940","BISHOP, SANFORD","H2GA02031","DEM","GA",2,"south","I","Dem Hold",59.6,40.4,"19.2",1213914.16,11075.84,19500,NA,22056.92,260480.42,227279.2,NA,34925.99,556.88,68702.74,1648.69,NA,2400.65,NA,NA
"32","HASTINGS FOR CONGRESS","C00269837","HASTINGS, ALCEE L","H2FL23021","DEM","FL",20,"south","I","Dem Hold",99.9,0,"99.9",812834.69,17297.35,NA,NA,67794.09,1697.84,31464.76,NA,37388.76,123168.59,NA,7179.85,1317.5,8800,NA,1909.94
"33","COMMITTEE TO RE-ELECT NYDIA M. VELAZQUEZ TO CONGRESS","C00271312","VELAZQUEZ, NYDIA M.","H2NY00010","DEM","NY",7,"northeast","I","Dem Hold",93.4,0,"93.4",915539.52,864.05,NA,NA,385952.29,226246.86,NA,NA,208,53288.99,2057.45,NA,NA,NA,NA,41.43
"34","PETE KING FOR CONGRESS COMMITTEE","C00272211","KING, PETE","H2NY03089","REP","NY",2,"northeast","I","GOP Hold",53.1,46.9,"6.2",3241821.74,139745.53,NA,NA,NA,160000,60701.19,NA,NA,250,11951.42,NA,6474.21,NA,NA,362.85
"35","MALONEY FOR CONGRESS","C00273169","MALONEY, CAROLYN B.","H2NY14037","DEM","NY",12,"northeast","I","Dem Hold",86.4,12.1,"74.3",2678229.14,99226,26197.5,24360.21,517066.09,45666.6,283974.25,21272.74,3618.93,3665.3,14048,NA,99226,NA,47699,31898.66
"36","FRIENDS OF BENNIE THOMPSON","C00279851","THOMPSON, BENNIE G.","H4MS02068","DEM","MS",2,"south","I","Dem Hold",71.8,21.7,"50.1",1632110.32,37155.94,NA,1051.52,NA,395132.9,37433,NA,62442.55,NA,7821.35,34355.94,NA,2800,NA,1500
"37","RE-ELECT MCGOVERN COMMITTEE","C00285171","MCGOVERN, JAMES P. MR.","H4MA03022","DEM","MA",2,"northeast","I","Dem Hold",67.2,32.8,"34.4",1440613,4419.16,975,NA,NA,229363.88,96925.04,NA,34374.37,55465.26,105513.38,NA,NA,NA,NA,191.76
"38","THORNBERRY FOR CONGRESS COMMITTEE","C00286187","THORNBERRY, MAC","H4TX13014","REP","TX",13,"south","I","GOP Hold",81.5,16.9,"64.6",1676281.29,64544.59,19812,1500,176500,171899.31,239799.15,268.75,17067.93,47693.64,8122.9,NA,1165.53,35059.7,7.02,300
"39","DOGGETT FOR CONGRESS","C00286500","DOGGETT, LLOYD","H4TX10028","DEM","TX",35,"south","I","Dem Hold",71.3,26,"45.3",535894.09,5646.51,NA,NA,NA,NA,25674.63,NA,913.3,2629.34,122.91,NA,NA,NA,NA,12502.36
"40","SHEILA JACKSON LEE FOR CONGRESS","C00287904","LEE, SHEILA JACKSON","H4TX18054","DEM","TX",18,"south","I","Dem Hold",75.2,20.8,"54.4",774169.94,82290,NA,NA,138034.71,103895.46,NA,NA,44560.71,10975,42493.79,62850,NA,17940,5000,NA
"41","LUCAS FOR CONGRESS","C00287912","LUCAS, FRANK D.","H4OK06056","REP","OK",3,"south","I","GOP Hold",73.9,26.1,"47.8",1088814.23,39058.5,NA,NA,203023.17,289278.29,114350.75,NA,6503.87,NA,NA,NA,NA,18554.9,NA,NA
"42","LOFGREN FOR CONGRESS","C00289603","LOFGREN, ZOE","H4CA16049","DEM","CA",19,"west","I","Dem Hold",73.8,26.2,"47.6",2222409.54,63247.5,NA,NA,230889.5,235352,NA,NA,76894.69,376121.98,30955.25,NA,NA,NA,NA,16205.78
"43","DOYLE FOR CONGRESS COMMITTEE","C00290064","DOYLE, MICHAEL","H4PA18131","DEM","PA",18,"northeast","I","Dem Hold",0,NA,"#VALUE!",947414.9,NA,NA,NA,92008.07,55254.08,49910.32,NA,10933.86,3350.82,4722.3,NA,NA,NA,NA,NA
"44","NADLER FOR CONGRESS","C00290825","NADLER, JERROLD L.","H2NY17071","DEM","NY",10,"northeast","I","Dem Hold",82.1,17.9,"64.2",2035780.23,17874.87,NA,NA,472686.68,226472.07,185200,NA,33784.49,323382.61,106,NA,NA,35,NA,1989.2
"45","STEVE CHABOT FOR CONGRESS","C00301838","CHABOT, STEVE","H8OH01043","REP","OH",1,"midwest","I","GOP Hold",51.3,46.9,"4.4",3022150.27,152000,123600,NA,222466.17,94134.36,53451.38,NA,NA,6405,17905.91,4500,NA,NA,NA,NA
"46","ADAM SMITH FOR CONGRESS COMMITTEE","C00304709","SMITH, D. ADAM","H6WA09025","DEM","WA",9,"west","I","Dem Hold",67.9,32.1,"67.9",1606883.49,1098975.93,NA,32660,203493.67,130882.5,174314.79,NA,3440.9,80317.77,151742.83,NA,462500,NA,NA,NA
"47","BLUMENAUER FOR CONGRESS","C00307314","BLUMENAUER, EARL","H6OR03064","DEM","OR",3,"west","I","Dem Hold",72.7,19.9,"52.8",1917908.62,25000,NA,NA,NA,63020.16,439967.86,NA,46272.69,16781.26,26128.9,NA,NA,NA,NA,NA
"48","SHERMAN FOR CONGRESS","C00308742","SHERMAN, BRAD","H6CA24113","DEM","CA",30,"west","I","Dem Hold",73.4,26.6,"46.8",596948.01,27500,NA,NA,105733.85,85569.75,59642.52,NA,151.9,5111.86,3523.33,NA,NA,NA,NA,3895.7
"49","CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE","C00310318","CUMMINGS, ELIJAH E","H6MD07160","DEM","MD",7,"south","I","Dem Hold",76.5,21.3,"55.2",1133182.54,NA,NA,NA,NA,47826.48,19534.37,NA,5665.73,NA,2606.82,NA,NA,NA,NA,NA
"50","KAY GRANGER CAMPAIGN FUND","C00310532","GRANGER, KAY","H6TX12060","REP","TX",12,"south","I","GOP Hold",64.3,33.9,"30.4",2226944.61,250,NA,7500,605164.76,418212.46,124277.22,NA,61153.71,500,1020.6,NA,NA,NA,NA,594
"51","BRADY FOR CONGRESS","C00311043","BRADY, KEVIN","H6TX08100","REP","TX",8,"south","I","GOP Hold",73.4,24.9,"48.5",7310730.76,180089.7,NA,10500,693509.62,469995.22,873641.6,NA,26224.79,319116.21,214286.55,NA,NA,NA,NA,1000
"52","DIANA DEGETTE FOR CONGRESS","C00311639","DEGETTE, DIANA L","H6CO01141","DEM","CO",1,"west","I","Dem Hold",73.8,23,"50.8",1371835.24,74.71,NA,19000,439742.81,295268.59,1576.03,NA,209279.26,117245.56,60485.09,NA,NA,NA,NA,20496.37
"53","KIND FOR CONGRESS COMMITTEE","C00312017","KIND, RONALD JAMES","H6WI03099","DEM","WI",3,"midwest","I","Dem Hold",59.7,40.3,"19.4",2263859.06,246071.87,NA,43350,185331.28,204268.1,329010.68,NA,7150.15,5972.31,89226.67,NA,NA,220,NA,1185.2
"54","ROBERT ADERHOLT FOR CONGRESS","C00313247","ADERHOLT, ROBERT B. REP.","H6AL04098","REP","AL",4,"south","I","GOP Hold",79.9,20.1,"59.8",1549020,81649.13,NA,NA,47800,116696.16,18094.86,NA,NA,174532.85,8177.74,81649.13,NA,NA,NA,NA
"55","PASCRELL FOR CONGRESS","C00313510","PASCRELL, WILLIAM J. HON. JR.","H6NJ08118","DEM","NJ",9,"northeast","I","Dem Hold",70.3,28.9,"41.4",1401146.31,7500,NA,NA,198493.03,205387.79,128461.75,NA,20154.75,10114.3,10940.46,NA,NA,NA,NA,NA
"56","MIKE THOMPSON FOR CONGRESS","C00326363","THOMPSON, MIKE MR.","H8CA01109","DEM","CA",5,"west","I","Dem Hold",78.9,21.1,"57.8",2441016.15,2375,NA,NA,87086.05,454435.96,222855.26,NA,35.98,296437.69,104746.92,NA,NA,NA,NA,26742.75
"57","SCHAKOWSKY FOR CONGRESS","C00327023","SCHAKOWSKY, JANICE D","H8IL09067","DEM","IL",9,"midwest","I","Dem Hold",73.5,26.5,"47",1546860.54,13752.5,1042.11,NA,84000,NA,467408.15,NA,16059.54,4796.86,15171.21,NA,NA,NA,NA,4850
"58","LARSON FOR CONGRESS","C00330142","LARSON, JOHN B","H8CT01046","DEM","CT",1,"northeast","I","Dem Hold",63.7,35.2,"28.5",1899287.82,NA,NA,NA,31660.9,32364.03,249239.2,NA,102614.44,27846.48,6488.86,NA,NA,NA,NA,NA
"59","SIMPSON FOR CONGRESS","C00331397","SIMPSON, MICHAEL","H8ID02064","REP","ID",2,"west","I","GOP Hold",60.7,39.3,"21.4",1220052.73,2000.5,NA,23400,NA,265490.74,39678.96,NA,18195.44,270202.18,29025.09,NA,NA,NA,NA,119.88
"60","BARBARA LEE FOR CONGRESS","C00331769","LEE, BARBARA","H8CA09060","DEM","CA",13,"west","I","Dem Hold",88.4,11.6,"76.8",2000727.58,89773.96,NA,5000,113771.44,247946.91,222611.97,NA,105118.8,202442.24,912.73,NA,NA,NA,NA,NA
"61","WALDEN FOR CONGRESS","C00333427","WALDEN, GREGORY P. MR.","H6OR02116","REP","OR",2,"west","I","GOP Hold",56.3,39.4,"16.9",5639424.99,2475044.7,NA,10000,NA,725191.32,232752.26,NA,87206,34200.15,310257.78,370620.05,1083629.18,56985.85,NA,NA
"62","NAPOLITANO FOR CONGRESS","C00334706","NAPOLITANO, GRACE","H8CA34068","DEM","CA",32,"west","I","Dem Hold",68.8,31.2,"37.6",260944.86,NA,NA,NA,51762.67,70537.46,NA,NA,5048.57,15,23.5,NA,NA,NA,NA,50
"63","SCHIFF FOR CONGRESS","C00343871","SCHIFF, ADAM","H0CA27085","DEM","CA",28,"west","I","Dem Hold",78.4,21.6,"56.8",3970809.81,NA,NA,NA,818756.74,601145.47,186288.68,NA,3110.14,74411.13,47967.19,NA,NA,NA,NA,28803.17
"64","SUSAN DAVIS FOR CONGRESS","C00344671","DAVIS, SUSAN A.","H0CA49055","DEM","CA",53,"west","I","Dem Hold",69.1,30.9,"38.2",462550.92,NA,NA,NA,9000,134126.75,42502.99,NA,5006.94,5617.68,435.85,NA,NA,NA,NA,1320
"65","LANGEVIN FOR CONGRESS","C00344697","LANGEVIN, JAMES R HONORABLE","H0RI02139","DEM","RI",2,"northeast","I","Dem Hold",63.6,36.4,"27.2",884056.1,NA,28200,NA,1412,1106.04,318611.01,NA,6136.51,NA,2635.17,NA,NA,NA,NA,1975
"66","CITIZENS TO ELECT RICK LARSEN","C00345546","LARSEN, RICK","H0WA02080","DEM","WA",2,"west","I","Dem Hold",71.3,28.7,"71.3",1134951.26,NA,NA,NA,400944.75,78405,255639.53,4527.9,5981.11,142247.31,2604.45,NA,NA,NA,NA,75630
"67","CLAY JR. FOR CONGRESS","C00346080","CLAY, WILLIAM LACY JR","H0MO01066","DEM","MO",1,"midwest","I","Dem Hold",80.1,16.7,"63.4",866484.78,55795,NA,4500,NA,330341,NA,NA,63328,2888,61500.4,15000,NA,NA,3198,NA
"68","GRAVES FOR CONGRESS","C00359034","GRAVES, SAMUEL B. JR.","H0MO06073","REP","MO",6,"midwest","I","GOP Hold",65.4,32,"33.4",1892612.22,45671.68,37850,NA,62340,343449.35,1820,NA,159762.95,267361.69,38734.51,NA,15250,NA,NA,NA
"69","STEPHEN LYNCH FOR CONGRESS","C00366948","LYNCH, STEPHEN","H2MA09072","DEM","MA",8,"northeast","I","Dem Hold",98.4,0,"98.4",565990.31,5138.76,NA,NA,146000.43,48884.73,1997.15,NA,1154.91,16337.86,952.72,NA,NA,NA,NA,7200
"70","MIKE ROGERS FOR CONGRESS","C00367862","ROGERS, MICHAEL","H2AL03032","REP","AL",3,"south","I","GOP Hold",63.8,36.2,"27.6",1518931.54,394174.27,NA,NA,200920.15,118921.93,107629.83,NA,3180.25,1900,47136.16,NA,NA,NA,NA,588
"71","JOE WILSON FOR CONGRESS","C00368522","WILSON, JOE THE HON.","H2SC02059","REP","SC",2,"south","I","GOP Hold",56.3,42.5,"13.8",2262900.12,47372.97,NA,NA,504596.16,375680.17,561700.03,NA,9482.25,9840.34,12265.4,NA,NA,NA,NA,NA
"72","DAVID SCOTT FOR CONGRESS","C00369801","SCOTT, DAVID ALBERT","H2GA13012","DEM","GA",13,"south","I","Dem Hold",76.2,23.8,"52.4",1302065.68,NA,NA,NA,78250,79930.22,NA,NA,33845,8255.3,89763.58,NA,NA,NA,NA,NA
"73","DEVIN NUNES CAMPAIGN COMMITTEE","C00370056","NUNES, DEVIN G.","H8CA20059","REP","CA",22,"west","I","GOP Hold",52.7,47.3,"5.4",12172645.37,2107903.01,176056.95,73429.95,225018.37,183346.66,332324.8,7110.54,76813,155612.97,16069.77,NA,NA,NA,NA,39979.75
"74","JOHN CARTER FOR CONGRESS","C00371203","CARTER, JOHN R. REP.","H2TX31044","REP","TX",31,"south","I","GOP Hold",50.6,47.7,"2.9",2324078.98,232113.86,29502.06,NA,486268.73,277104.59,179695.68,36630.94,53231.1,124533.55,5337.59,NA,NA,NA,NA,NA
"75","TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN","C00371302","CUELLAR, HENRY R.","H2TX23082","DEM","TX",28,"south","I","Dem Hold",84.4,15.6,"68.8",1175906.3,2490,NA,NA,225712.87,168325.91,127688.87,NA,7709.48,37460.77,17190.11,NA,NA,NA,NA,NA
"76","MICHAEL BURGESS FOR CONGRESS","C00372532","BURGESS, MICHAEL C. DR.","H2TX26093","REP","TX",26,"south","I","GOP Hold",59.4,39,"20.4",2461686.82,220143.13,61385.22,NA,567670.04,241955.04,180867.45,NA,NA,4206,184269.06,NA,NA,NA,7.02,14953.79
"77","CITIZENS FOR TURNER","C00373001","TURNER, MICHAEL R","H2OH03067","REP","OH",10,"midwest","I","GOP Hold",55.9,42.2,"13.7",1653908.6,NA,43000,19575,108966.88,108966.88,154008.69,NA,NA,26423.19,119997.43,NA,NA,NA,NA,380
"78","TIM RYAN FOR CONGRESS","C00373464","RYAN, TIMOTHY","H2OH17109","DEM","OH",13,"midwest","I","Dem Hold",61,39,"22",1934417.5,75828.61,NA,65468,400370.61,142166.35,151357.1,NA,41990.36,175840.32,2866.69,NA,NA,NA,NA,10458.15
"79","KING FOR CONGRESS","C00373563","KING, STEVE MR.","H2IA05072","REP","IA",4,"midwest","I","GOP Hold",50.4,47,"3.4",1224047.65,3061,62200,NA,1500,74240.41,481095.77,NA,413,62871.43,109087.26,600,NA,NA,1500,1302
"80","A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE","C00374058","GRIJALVA, RAUL M","H2AZ07070","DEM","AZ",3,"west","I","Dem Hold",63.9,36.1,"27.8",719345.26,97184.82,NA,NA,81095.52,125695.52,32370.07,NA,11653.93,15022.27,23797.93,NA,NA,NA,NA,17501.73
"81","ROB BISHOP FOR CONGRESS","C00374231","BISHOP, ROBERT","H2UT01094","REP","UT",1,"west","I","GOP Hold",61.6,24.9,"36.7",1058570.52,248500.16,NA,NA,101980.49,222182.29,NA,NA,41755.73,3354.27,71387.55,NA,NA,NA,NA,NA
"82","MARIO DIAZ-BALART FOR CONGRESS","C00376087","DIAZ-BALART, MARIO","H2FL25018","REP","FL",25,"south","I","GOP Hold",60.5,39.5,"21",2625050.56,4834.89,46175,17500,268315,211439.69,NA,7405,58361.32,185688.37,335541.76,NA,NA,300,16745.29,NA
"83","KUSTOFF FOR CONGRESS 2002","C00376244","KUSTOFF, DAVID","H2TN07103","REP","TN",8,"south","I","GOP Hold",67.7,30.1,"37.6",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","COOPER FOR CONGRESS","C00376665","COOPER, JAMES H.S.","H2TN05131","DEM","TN",5,"south","I","Dem Hold",67.8,32.2,"35.6",977927.99,125,NA,NA,1500,56327.85,432724.91,393.3,2156.99,60827.01,6059.25,NA,NA,NA,NA,NA
"85","DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE","C00376673","RUPPERSBERGER, C. A. DUTCH","H2MD02160","DEM","MD",2,"south","I","Dem Hold",66.1,30.7,"35.4",1156039.1,2695,NA,NA,195078.98,9260,28320.53,NA,21815.19,151684.66,3478.14,NA,NA,NA,NA,9100
"86","COLE FOR CONGRESS","C00379735","COLE, TOM","H2OK04055","REP","OK",4,"south","I","GOP Hold",63.1,33,"30.1",2583370.27,119930.26,29900,NA,48820,290854.8,177156.91,NA,NA,10534.17,129553.04,NA,NA,NA,NA,147.23
"87","CONAWAY FOR CONGRESS","C00383828","CONAWAY, MICHAEL HONORABLE","H4TX19136","REP","TX",11,"south","I","GOP Hold",80.1,18.4,"61.7",3139274.36,8306,NA,NA,NA,520560.17,168443.07,NA,14803.67,12489.92,156916.32,NA,NA,NA,23503.66,2992.55
"88","STAND WITH SANCHEZ","C00384057","SANCHEZ, LINDA","H2CA39078","DEM","CA",38,"west","I","Dem Hold",68.9,31.1,"37.8",1775747.38,2986.54,NA,20000,291150,186100,258565.21,8927.74,64716.35,179412.44,52498.95,NA,NA,NA,NA,5250
"89","DEBBIE WASSERMAN SCHULTZ FOR CONGRESS","C00385773","WASSERMAN SCHULTZ, DEBBIE","H4FL20023","DEM","FL",23,"south","I","Dem Hold",58.5,36,"22.5",1989340.02,NA,NA,NA,374756,172256,279949.25,NA,49652.09,117604.1,251471.24,NA,NA,NA,NA,NA
"90","LOUIE GOHMERT FOR CONGRESS COMMITTEE","C00386532","GOHMERT, LOUIS B. MR. JR.","H4TX04039","REP","TX",1,"south","I","GOP Hold",72.3,26.3,"46",763793.07,37614.2,NA,NA,NA,224007.12,47550.2,NA,538.81,8450.16,31282.17,13022.19,13036.01,NA,NA,NA
"91","VIRGINIA FOXX FOR CONGRESS","C00386748","FOXX, VIRGINIA ANN","H4NC05146","REP","NC",5,"south","I","GOP Hold",57.2,42.8,"14.4",2364588.77,64969.35,NA,20900,458948.21,NA,115168.06,NA,35754.41,7640.54,10992.58,1248,NA,5285,NA,NA
"92","CATHY MCMORRIS RODGERS FOR CONGRESS","C00390476","MCMORRIS RODGERS, CATHY","H4WA05077","REP","WA",5,"west","I","GOP Hold",54.8,45.2,"9.6",6079908,5686341,156400,17256,275904,986486,473101,NA,112823,78432,855491,28310,2464279,30308,NA,NA
"93","WALBERG FOR CONGRESS","C00390724","WALBERG, TIMOTHY L REP","H4MI07103","REP","MI",7,"midwest","I","GOP Hold",53.8,46.2,"7.6",2395806.78,100428.68,NA,NA,236223.29,200429.29,90908.02,NA,370.2,NA,271140.06,NA,NA,203,3532.68,965
"94","JIM COSTA FOR CONGRESS","C00391029","COSTA, JIM","H4CA20082","DEM","CA",16,"west","I","Dem Hold",57.5,42.5,"15",2554167.1,1188420.54,69600,12365.94,NA,248825.12,36842.43,NA,1898.21,71783.46,2311.22,1720,1044596,5685,NA,3317.08
"95","MCCAUL FOR CONGRESS, INC","C00392688","MCCAUL, MICHAEL","H4TX10093","REP","TX",10,"south","I","GOP Hold",51.1,46.8,"4.3",2174183.64,29594.68,NA,10000,758572.19,392334.17,93416.05,NA,4902.01,24579.75,55.65,NA,NA,NA,215880.22,653.5
