"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"11","PRICE FOR CONGRESS","C00195628","PRICE, DAVID E.","H6NC04037","DEM","NC",4,"south","I","Dem Hold",72.3,24.1,"48.2",1125907.27,63461.58,23200,NA,NA,72000,333944.18,NA,4498.64,37857.17,64676.85,12482.07,NA,NA,NA,21600,0.0563648372214525,0.0206056045805619,NA,NA,0.0639484280086405,0.296600074356035,NA,0.00399556883578876,0.0336237015327204,0.0574442067507034,0.0110862327054696,NA,NA,NA,0.0191845284025922
"12","UPTON FOR ALL OF US","C00200584","UPTON, FREDERICK STEPHEN","H6MI04113","REP","MI",6,"midwest","I","GOP Hold",50.2,45.7,"4.5",3762919.03,1577605.54,64964,84100,460597.9,208390.14,344609.07,20843.96,103824.85,202740.24,173360.31,NA,NA,1601.4,NA,NA,0.419250461522687,0.0172642566800062,0.0223496703834204,0.122404414319805,0.0553799160541597,0.0915802511966355,0.00553930601052556,0.0275915716421886,0.0538784487212312,0.0460706990019926,NA,NA,0.000425573866254571,NA,NA
"13","JOHN LEWIS FOR CONGRESS","C00202416","LEWIS, JOHN R.","H6GA05217","DEM","GA",5,"south","I","Dem Hold",100,0,"100",2028114.96,518.01,NA,NA,754191.42,671824.15,NA,NA,5177.11,112266.22,4809.79,NA,NA,NA,NA,NA,0.000255414515555864,NA,NA,0.371868180490124,0.331255458023938,NA,NA,0.00255267088015563,0.0553549587741318,0.00237155688649918,NA,NA,NA,NA,NA
"14","NANCY PELOSI FOR CONGRESS","C00213512","PELOSI, NANCY","H8CA05035","DEM","CA",12,"west","I","Dem Hold",86.8,13.2,"73.6",5700008.64,NA,86200,NA,1187137.65,159583,464087.28,NA,155714.2,5840.74,115.2,NA,NA,NA,549875,67419.85,NA,0.0151227840945869,NA,0.208269447465259,0.0279969751063395,0.0814186976390267,NA,0.0273182392930548,0.00102468967485635,2.02104956809329e-05,NA,NA,NA,0.0964691520186889,0.0118280259308519
"15","DEFAZIO FOR CONGRESS","C00215905","DEFAZIO, PETER A","H6OR04047","DEM","OR",4,"west","I","Dem Hold",56,40.9,"15.1",1542392.03,20153,NA,NA,238048,137409.19,419090.72,43.5,7175.23,125998.19,103715.42,NA,NA,150,15088.82,NA,0.0130660685532718,NA,NA,0.154336897085756,0.0890883687981712,0.271714785766884,2.82029465621655e-05,0.00465201444278729,0.0816901199884961,0.0672432286881047,NA,NA,9.72515398695363e-05,0.00978273986542838,NA
"16","NITA LOWEY FOR CONGRESS","C00219881","LOWEY, NITA M","H8NY20056","DEM","NY",17,"northeast","I","Dem Hold",88,12,"76",1391084.61,999.86,NA,834,178545.96,188810.09,1422,NA,7807.18,28418.85,23056.04,NA,NA,NA,NA,2825,0.000718762893940722,NA,0.000599532188052889,0.128350179936215,0.135728688710027,0.00102222394653622,NA,0.00561229701189779,0.0204292749669626,0.016574146413711,NA,NA,NA,NA,0.00203078948591057
"17","RICHARD E NEAL FOR CONGRESS COMMITTEE","C00226522","NEAL, RICHARD E MR.","H8MA02041","DEM","MA",1,"northeast","I","Dem Hold",97.6,0,"97.6",3934719.6,20632.91,NA,NA,281000,400213.76,259030.9,2698.14,149412.12,493447.03,4317.91,299.99,NA,10417.92,NA,1265.59,0.00524380695386782,NA,NA,0.0714155082359617,0.101713413072688,0.0658321116452618,0.000685726118831949,0.0379727490619662,0.125408435711658,0.00109738696500762,7.62417733655023e-05,NA,0.00264769057495228,NA,0.000321646808072423
"18","PALLONE FOR CONGRESS","C00226928","PALLONE, FRANK JR","H8NJ03073","DEM","NJ",6,"northeast","I","Dem Hold",63.6,36.4,"27.2",1942187.35,NA,NA,NA,224433,106535.77,310827.57,NA,30854.05,6961.27,1570.35,NA,NA,NA,NA,NA,NA,NA,NA,0.115556823084035,0.0548534980417826,0.160039951861493,NA,0.0158862377514713,0.00358424227199297,0.000808547126002031,NA,NA,NA,NA,NA
"19","ENGEL FOR CONGRESS","C00236513","ENGEL, ELIOT L.","H8NY19058","DEM","NY",16,"northeast","I","Dem Hold",100,0,"100",2315163.42,50000,57000,2654.33,319520.97,244522.62,NA,NA,34339.48,90712.11,99200,NA,50000,NA,NA,10558.6,0.0215967475851014,0.0246202922470155,0.00114649790035124,0.138012274744735,0.105617866059753,NA,NA,0.0148324216352727,0.039181730851639,0.0428479472088411,NA,0.0215967475851014,NA,NA,0.00456062838104102
"20","FRIENDS OF ROSA DELAURO","C00238865","DELAURO, ROSA L","H0CT03072","DEM","CT",3,"northeast","I","Dem Hold",64.4,35.6,"28.8",1443521.05,15864.84,NA,NA,86639.64,86124.5,285543.77,NA,24162.74,45466.74,13834.44,NA,NA,NA,NA,1214.99,0.0109903766211099,NA,NA,0.0600196581823313,0.0596627946644768,0.197810603454657,NA,0.0167387514023436,0.0314971091000024,0.00958381590625229,NA,NA,NA,NA,0.000841684989630044
"21","SERRANO FOR CONGRESS","C00240986","SERRANO, JOSE E.","H0NY18065","DEM","NY",15,"northeast","I","Dem Hold",96,4,"92",237616.76,NA,NA,NA,111223.81,106847.68,9513.49,NA,NA,6675,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468080660640268,0.44966390417915,0.0400371169104402,NA,NA,0.0280914528082952,NA,NA,NA,NA,NA,NA
"22","PETERSON FOR CONGRESS","C00253187","PETERSON, COLLIN CLARK","H2MN07014","DEM","MN",7,"midwest","I","Dem Hold",52.1,47.9,"4.2",1501663.01,1517883.67,35700,NA,7200,124521.08,145200.52,NA,88.97,51290.73,3484.46,105000,615976.35,77541.16,NA,2675,1.01080179766831,0.0237736427961957,NA,0.00479468426141761,0.0829221197903783,0.0966931455546741,NA,5.92476470469896e-05,0.0341559522066139,0.00232040076688045,0.0699224788123402,0.41019612649312,0.0516368582588979,NA,0.00178135838879057
"23","EDDIE BERNICE JOHNSON FOR CONGRESS","C00254573","JOHNSON, EDDIE BERNICE","H2TX00015","DEM","TX",30,"south","I","Dem Hold",91.1,8.9,"82.2",270061.82,750,NA,NA,72500,72553.47,1800,NA,NA,35534.95,8194.8,NA,NA,750,NA,NA,0.00277714191513632,NA,NA,0.268457051796511,0.268655043500781,0.00666514059632717,NA,NA,0.131580798796364,0.0303441634215455,NA,NA,0.00277714191513632,NA,NA
"24","FRIENDS OF JIM CLYBURN","C00255562","CLYBURN, JAMES E.","H2SC02042","DEM","SC",6,"south","I","Dem Hold",70.2,28.3,"41.9",2599440.85,24426.15,NA,NA,223318,187561.19,NA,NA,102277.36,92563.66,7926.49,2500,NA,NA,NA,17275,0.0093966939082303,NA,NA,0.0859100140709107,0.0721544365973936,NA,NA,0.0393459077939781,0.0356090656958015,0.00304930577666347,0.000961745292261603,NA,NA,NA,0.00664565996952768
"25","SCOTT FOR CONGRESS","C00256925","SCOTT, ROBERT C","H6VA01117","DEM","VA",3,"south","I","Dem Hold",0,8.8,"-8.8",630688.44,NA,NA,NA,21702.07,933.02,55906.6,NA,2193.26,159.08,2872.14,NA,NA,NA,NA,NA,NA,NA,NA,0.0344101280816246,0.00147936753050365,0.0886437683874466,NA,0.00347756492888945,0.000252232306652077,0.00455397596949771,NA,NA,NA,NA,NA
"26","CITIZENS FOR RUSH","C00257121","RUSH, BOBBY LEE","H2IL01042","DEM","IL",1,"midwest","I","Dem Hold",73.5,19.8,"53.7",324133.22,NA,NA,NA,69919.08,103552.15,5000,6700,NA,11114,1511,NA,NA,NA,NA,NA,NA,NA,NA,0.215710935151911,0.319474042185494,0.0154257561134894,0.0206705131920758,NA,0.0342883706890642,0.00466166349749649,NA,NA,NA,NA,NA
"27","KEN CALVERT FOR CONGRESS COMMITTEE","C00257337","CALVERT, KEN","H2CA37023","REP","CA",42,"west","I","GOP Hold",56.5,43.5,"13",1835266.53,87701.32,NA,NA,176168.06,222889.32,65386.63,NA,31596.2,194707.84,77337.83,63750,NA,NA,NA,NA,0.0477866939577436,NA,NA,0.0959904499538822,0.121447929418731,0.0356278659972075,NA,0.0172161369934644,0.106092405008879,0.0421398356782543,0.0347360990667661,NA,NA,NA,NA
"28","ANNA ESHOO FOR CONGRESS","C00258475","ESHOO, ANNA G","H8CA12098","DEM","CA",18,"west","I","Dem Hold",74.5,25.5,"49",1479331.94,1445.2,27750,3000,447435,399208.27,NA,NA,16819.46,22716.08,92360.5,NA,NA,1445.2,NA,2940,0.000976927463622532,0.0187584674200978,0.00202794242379435,0.302457472796809,0.269857128887517,NA,NA,0.0113696321597707,0.0153556341114355,0.0624339254109527,NA,NA,0.000976927463622532,NA,0.00198738357531846
"29","VOLUNTEERS FOR SHIMKUS","C00258855","SHIMKUS, JOHN M","H2IL20042","REP","IL",15,"midwest","I","GOP Hold",70.9,29.1,"41.8",2026095.57,168880.5,29595,NA,NA,800620.41,110054.2,NA,17162.81,152665.6,131290.46,16843.8,16500,51874.11,NA,77103.98,0.0833526821244666,0.0146069121507432,NA,NA,0.395154316437304,0.0543183656435318,NA,0.00847087879472536,0.0753496539158812,0.0647997369640367,0.00831342817653957,0.00814374220264447,0.0256029926564619,NA,0.0380554506616882
"30","LUCILLE ROYBAL-ALLARD FOR CONGRESS","C00259143","ROYBAL-ALLARD, LUCILLE","H2CA33048","DEM","CA",40,"west","I","Dem Hold",77.3,22.7,"54.6",662185.07,15000.02,NA,1960.63,51279.54,18559.19,177721.45,NA,1809.49,61710.09,1844.7,NA,NA,NA,NA,NA,0.0226523077604272,NA,0.00296084899648976,0.0774398915396869,0.0280271948746896,0.268386374220126,NA,0.00273260464782149,0.0931916057847695,0.00278577709400787,NA,NA,NA,NA,NA
"31","SANFORD BISHOP FOR CONGRESS","C00266940","BISHOP, SANFORD","H2GA02031","DEM","GA",2,"south","I","Dem Hold",59.6,40.4,"19.2",1213914.16,11075.84,19500,NA,22056.92,260480.42,227279.2,NA,34925.99,556.88,68702.74,1648.69,NA,2400.65,NA,NA,0.00912407183717175,0.0160637388067044,NA,0.0181700821415577,0.214578945186701,0.187228395128038,NA,0.0287713836372087,0.000458747429060388,0.0565960446494833,0.00135816028375515,NA,0.00197761100340077,NA,NA
"32","HASTINGS FOR CONGRESS","C00269837","HASTINGS, ALCEE L","H2FL23021","DEM","FL",20,"south","I","Dem Hold",99.9,0,"99.9",812834.69,17297.35,NA,NA,67794.09,1697.84,31464.76,NA,37388.76,123168.59,NA,7179.85,1317.5,8800,NA,1909.94,0.0212802802498501,NA,NA,0.0834045234954232,0.00208878880403099,0.0387099128360282,NA,0.0459979876104943,0.151529691726125,NA,0.00883309987667972,0.00162087078247116,0.0108263095906992,NA,0.00234972747041591
"33","COMMITTEE TO RE-ELECT NYDIA M. VELAZQUEZ TO CONGRESS","C00271312","VELAZQUEZ, NYDIA M.","H2NY00010","DEM","NY",7,"northeast","I","Dem Hold",93.4,0,"93.4",915539.52,864.05,NA,NA,385952.29,226246.86,NA,NA,208,53288.99,2057.45,NA,NA,NA,NA,41.43,0.000943760461590997,NA,NA,0.42155721470112,0.247118617009564,NA,NA,0.000227188445125777,0.0582050133674186,0.00224725416550014,NA,NA,NA,NA,4.52520061613506e-05
"34","PETE KING FOR CONGRESS COMMITTEE","C00272211","KING, PETE","H2NY03089","REP","NY",2,"northeast","I","GOP Hold",53.1,46.9,"6.2",3241821.74,139745.53,NA,NA,NA,160000,60701.19,NA,NA,250,11951.42,NA,6474.21,NA,NA,362.85,0.0431070987882264,NA,NA,NA,0.049354965458403,0.0187244070983372,NA,NA,7.71171335287547e-05,0.00368663700799292,NA,0.0019970900682528,NA,NA,0.000111927807603635
"35","MALONEY FOR CONGRESS","C00273169","MALONEY, CAROLYN B.","H2NY14037","DEM","NY",12,"northeast","I","Dem Hold",86.4,12.1,"74.3",2678229.14,99226,26197.5,24360.21,517066.09,45666.6,283974.25,21272.74,3618.93,3665.3,14048,NA,99226,NA,47699,31898.66,0.0370491077548353,0.00978164997487855,0.00909564071130971,0.193062677975343,0.017051042914125,0.106030602743722,0.00794283793058872,0.00135123987188042,0.0013685535510229,0.00524525694616257,NA,0.0370491077548353,NA,0.0178099025537449,0.0119103550639435
"36","FRIENDS OF BENNIE THOMPSON","C00279851","THOMPSON, BENNIE G.","H4MS02068","DEM","MS",2,"south","I","Dem Hold",71.8,21.7,"50.1",1632110.32,37155.94,NA,1051.52,NA,395132.9,37433,NA,62442.55,NA,7821.35,34355.94,NA,2800,NA,1500,0.0227655811893892,NA,0.000644270174089702,NA,0.242099382105494,0.0229353368711007,NA,0.0382587802030441,NA,0.00479216993125808,0.0210500108840682,NA,0.00171557030532103,NA,0.000919055520707693
"37","RE-ELECT MCGOVERN COMMITTEE","C00285171","MCGOVERN, JAMES P. MR.","H4MA03022","DEM","MA",2,"northeast","I","Dem Hold",67.2,32.8,"34.4",1440613,4419.16,975,NA,NA,229363.88,96925.04,NA,34374.37,55465.26,105513.38,NA,NA,NA,NA,191.76,0.0030675552698747,0.000676795225365869,NA,NA,0.159212696261938,0.0672804146568162,NA,0.0238609328112408,0.038501151940181,0.0732420018422713,NA,NA,NA,NA,0.000133110002478112
"38","THORNBERRY FOR CONGRESS COMMITTEE","C00286187","THORNBERRY, MAC","H4TX13014","REP","TX",13,"south","I","GOP Hold",81.5,16.9,"64.6",1676281.29,64544.59,19812,1500,176500,171899.31,239799.15,268.75,17067.93,47693.64,8122.9,NA,1165.53,35059.7,7.02,300,0.0385046294944925,0.0118190187519184,0.000894837882489281,0.105292590839572,0.102548009707846,0.14305424240582,0.000160325120612663,0.0101820202264502,0.0284520505505374,0.00484578575711479,NA,0.000695306931451821,0.0209151651391396,4.18784129004983e-06,0.000178967576497856
"39","DOGGETT FOR CONGRESS","C00286500","DOGGETT, LLOYD","H4TX10028","DEM","TX",35,"south","I","Dem Hold",71.3,26,"45.3",535894.09,5646.51,NA,NA,NA,NA,25674.63,NA,913.3,2629.34,122.91,NA,NA,NA,NA,12502.36,0.0105366155465532,NA,NA,NA,NA,0.0479098957781005,NA,0.00170425465972204,0.00490645455709355,0.000229355020504145,NA,NA,NA,NA,0.0233299083406574
"40","SHEILA JACKSON LEE FOR CONGRESS","C00287904","LEE, SHEILA JACKSON","H4TX18054","DEM","TX",18,"south","I","Dem Hold",75.2,20.8,"54.4",774169.94,82290,NA,NA,138034.71,103895.46,NA,NA,44560.71,10975,42493.79,62850,NA,17940,5000,NA,0.106294491361935,NA,NA,0.178300270868177,0.134202394890197,NA,NA,0.0575593389740759,0.0141764739664265,0.0548894858924644,0.08118372563006,NA,0.0231732066476257,0.00645853028083214,NA
"41","LUCAS FOR CONGRESS","C00287912","LUCAS, FRANK D.","H4OK06056","REP","OK",3,"south","I","GOP Hold",73.9,26.1,"47.8",1088814.23,39058.5,NA,NA,203023.17,289278.29,114350.75,NA,6503.87,NA,NA,NA,NA,18554.9,NA,NA,0.0358725105934738,NA,NA,0.186462634677359,0.265681952007552,0.105023195738358,NA,0.00597335139530643,NA,NA,NA,NA,0.0170413827159478,NA,NA
"42","LOFGREN FOR CONGRESS","C00289603","LOFGREN, ZOE","H4CA16049","DEM","CA",19,"west","I","Dem Hold",73.8,26.2,"47.6",2222409.54,63247.5,NA,NA,230889.5,235352,NA,NA,76894.69,376121.98,30955.25,NA,NA,NA,NA,16205.78,0.028458976107527,NA,NA,0.103891517672301,0.105899473415687,NA,NA,0.0345996939879947,0.16924062519998,0.0139286884090679,NA,NA,NA,NA,0.00729198633659573
"43","DOYLE FOR CONGRESS COMMITTEE","C00290064","DOYLE, MICHAEL","H4PA18131","DEM","PA",18,"northeast","I","Dem Hold",0,NA,"#VALUE!",947414.9,NA,NA,NA,92008.07,55254.08,49910.32,NA,10933.86,3350.82,4722.3,NA,NA,NA,NA,NA,NA,NA,NA,0.097114864881268,0.0583208898234554,0.0526805309901713,NA,0.011540730465607,0.00353680314717449,0.00498440545952993,NA,NA,NA,NA,NA
"44","NADLER FOR CONGRESS","C00290825","NADLER, JERROLD L.","H2NY17071","DEM","NY",10,"northeast","I","Dem Hold",82.1,17.9,"64.2",2035780.23,17874.87,NA,NA,472686.68,226472.07,185200,NA,33784.49,323382.61,106,NA,NA,35,NA,1989.2,0.00878035346673938,NA,NA,0.232189444142505,0.111245834232313,0.0909724916623245,NA,0.0165953522399616,0.158849469719037,5.20684887484147e-05,NA,NA,1.71924255301369e-05,NA,0.000977119224701381
"45","STEVE CHABOT FOR CONGRESS","C00301838","CHABOT, STEVE","H8OH01043","REP","OH",1,"midwest","I","GOP Hold",51.3,46.9,"4.4",3022150.27,152000,123600,NA,222466.17,94134.36,53451.38,NA,NA,6405,17905.91,4500,NA,NA,NA,NA,0.0502953150638668,0.0408980325124601,NA,0.0736118823105378,0.031148140095628,0.0176865394585425,NA,NA,0.00211935192752675,0.00592489069049502,0.001489006038075,NA,NA,NA,NA
"46","ADAM SMITH FOR CONGRESS COMMITTEE","C00304709","SMITH, D. ADAM","H6WA09025","DEM","WA",9,"west","I","Dem Hold",67.9,32.1,"67.9",1606883.49,1098975.93,NA,32660,203493.67,130882.5,174314.79,NA,3440.9,80317.77,151742.83,NA,462500,NA,NA,NA,0.683917618694309,NA,0.0203250579169246,0.126638721018908,0.0814511449115704,0.10848004294325,NA,0.00214135002407673,0.0499835678814523,0.0944330008643004,NA,0.28782422800299,NA,NA,NA
"47","BLUMENAUER FOR CONGRESS","C00307314","BLUMENAUER, EARL","H6OR03064","DEM","OR",3,"west","I","Dem Hold",72.7,19.9,"52.8",1917908.62,25000,NA,NA,NA,63020.16,439967.86,NA,46272.69,16781.26,26128.9,NA,NA,NA,NA,NA,0.0130350318775876,NA,NA,NA,0.0328587917812268,0.22939980320856,NA,0.0241266395684691,0.00874977036184341,0.0136236417770519,NA,NA,NA,NA,NA
"48","SHERMAN FOR CONGRESS","C00308742","SHERMAN, BRAD","H6CA24113","DEM","CA",30,"west","I","Dem Hold",73.4,26.6,"46.8",596948.01,27500,NA,NA,105733.85,85569.75,59642.52,NA,151.9,5111.86,3523.33,NA,NA,NA,NA,3895.7,0.0460676634134353,NA,NA,0.177124051389333,0.143345397868066,0.0999124195086939,NA,0.000254461020818212,0.00856332530533103,0.00590223929216214,NA,NA,NA,NA,0.00652602895853527
"49","CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE","C00310318","CUMMINGS, ELIJAH E","H6MD07160","DEM","MD",7,"south","I","Dem Hold",76.5,21.3,"55.2",1133182.54,NA,NA,NA,NA,47826.48,19534.37,NA,5665.73,NA,2606.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0422054508534874,0.0172385024569828,NA,0.00499983877266588,NA,0.00230044137460854,NA,NA,NA,NA,NA
"50","KAY GRANGER CAMPAIGN FUND","C00310532","GRANGER, KAY","H6TX12060","REP","TX",12,"south","I","GOP Hold",64.3,33.9,"30.4",2226944.61,250,NA,7500,605164.76,418212.46,124277.22,NA,61153.71,500,1020.6,NA,NA,NA,NA,594,0.000112261436084843,NA,0.00336784308254528,0.271746660102157,0.187796525392699,0.0558061567593278,NA,0.027460813226064,0.000224522872169685,0.000458296086672762,NA,NA,NA,NA,0.000266733172137586
"51","BRADY FOR CONGRESS","C00311043","BRADY, KEVIN","H6TX08100","REP","TX",8,"south","I","GOP Hold",73.4,24.9,"48.5",7310730.76,180089.7,NA,10500,693509.62,469995.22,873641.6,NA,26224.79,319116.21,214286.55,NA,NA,NA,NA,1000,0.0246336113190414,NA,0.00143624493155319,0.0948618739722265,0.0642884050075454,0.119501268570859,NA,0.00358716397319493,0.0436503846846632,0.029311235365478,NA,NA,NA,NA,0.000136785231576494
"52","DIANA DEGETTE FOR CONGRESS","C00311639","DEGETTE, DIANA L","H6CO01141","DEM","CO",1,"west","I","Dem Hold",73.8,23,"50.8",1371835.24,74.71,NA,19000,439742.81,295268.59,1576.03,NA,209279.26,117245.56,60485.09,NA,NA,NA,NA,20496.37,5.44598927200616e-05,NA,0.0138500597199996,0.320550746312655,0.215236189733688,0.00114884787476374,NA,0.152554223639859,0.0854662109423578,0.0440906372983974,NA,NA,NA,NA,0.014940839397011
"53","KIND FOR CONGRESS COMMITTEE","C00312017","KIND, RONALD JAMES","H6WI03099","DEM","WI",3,"midwest","I","Dem Hold",59.7,40.3,"19.4",2263859.06,246071.87,NA,43350,185331.28,204268.1,329010.68,NA,7150.15,5972.31,89226.67,NA,NA,220,NA,1185.2,0.10869575511472,NA,0.0191487185602446,0.0818652023328696,0.0902300428543462,0.145331785804722,NA,0.00315839008105036,0.00263811034243448,0.0394135269180582,NA,NA,9.71791945387272e-05,NA,0.000523530824396816
"54","ROBERT ADERHOLT FOR CONGRESS","C00313247","ADERHOLT, ROBERT B. REP.","H6AL04098","REP","AL",4,"south","I","GOP Hold",79.9,20.1,"59.8",1549020,81649.13,NA,NA,47800,116696.16,18094.86,NA,NA,174532.85,8177.74,81649.13,NA,NA,NA,NA,0.0527101845037508,NA,NA,0.0308582200358937,0.07533547662393,0.0116814889413952,NA,NA,0.112673077171373,0.00527929916979768,0.0527101845037508,NA,NA,NA,NA
"55","PASCRELL FOR CONGRESS","C00313510","PASCRELL, WILLIAM J. HON. JR.","H6NJ08118","DEM","NJ",9,"northeast","I","Dem Hold",70.3,28.9,"41.4",1401146.31,7500,NA,NA,198493.03,205387.79,128461.75,NA,20154.75,10114.3,10940.46,NA,NA,NA,NA,NA,0.00535276005544346,NA,NA,0.141664741635725,0.146585541091708,0.0916833232069819,NA,0.0143844720969932,0.0072185894705029,0.00780822097015693,NA,NA,NA,NA,NA
"56","MIKE THOMPSON FOR CONGRESS","C00326363","THOMPSON, MIKE MR.","H8CA01109","DEM","CA",5,"west","I","Dem Hold",78.9,21.1,"57.8",2441016.15,2375,NA,NA,87086.05,454435.96,222855.26,NA,35.98,296437.69,104746.92,NA,NA,NA,NA,26742.75,0.000972955463649841,NA,NA,0.0356761465916561,0.186166715857247,0.0912961022400446,NA,1.47397631924721e-05,0.121440282154626,0.0429111949955759,NA,NA,NA,NA,0.0109555809370618
"57","SCHAKOWSKY FOR CONGRESS","C00327023","SCHAKOWSKY, JANICE D","H8IL09067","DEM","IL",9,"midwest","I","Dem Hold",73.5,26.5,"47",1546860.54,13752.5,1042.11,NA,84000,NA,467408.15,NA,16059.54,4796.86,15171.21,NA,NA,NA,NA,4850,0.00889058815864551,0.000673693570333108,NA,0.0543035379259206,NA,0.302165669052493,NA,0.0103820218983671,0.00310102939208728,0.00980774259067983,NA,NA,NA,NA,0.00313538284453232
